account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a15470,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,345289924000000.0,345289924000000.0,10,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,54957142200000.0,54957142200000.0,5
a08445,64880000000.0,64880000000.0,2,0.0,0.0,0,0.0,0.0,0,64880000000.0,64880000000.0,2,57820000000.0,57820000000.0,5,540470000000.0,540470000000.0,4,0.0,0.0,0,0.0,0.0,0,540470000000.0,540470000000.0,4,1560866540000.0,1560866540000.0,6
a07637,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,485094412737461.06,485094412737461.06,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,85859222605778.05,85859222605778.05,5
a14666,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,129197802000000.0,129197802000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,89317702043500.0,89317702043500.0,5
a05406,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,14259259680000.0,14259259680000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7407180000000.0,7407180000000.0,3
a03915,299991915000000.0,299991915000000.0,3,0.0,0.0,0,0.0,0.0,0,1169984985000000.0,1169984985000000.0,6,188614287400000.0,188614287400000.0,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11529018877595.258,11529018877595.258,5
a16185,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2599320171976.726,2599320171976.726,5,225786712850000.0,225786712850000.0,7,22344770900000.0,22344770900000.0,2,0.0,0.0,0,961014946260000.0,961014946260000.0,15,16460982000000.0,16460982000000.0,17
a00498,126440000000.0,126440000000.0,2,101370000000.0,101370000000.0,1,0.0,0.0,0,347710000000.0,347710000000.0,5,354273550000.0,354273550000.0,6,70901330000.0,70901330000.0,2,92939230000.0,92939230000.0,1,0.0,0.0,0,233391120000.0,233391120000.0,5,637560000000.0,637560000000.0,5
a11260,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,51358097897.6,51358097897.6,5,747828998200000.0,747828998200000.0,4,0.0,0.0,0,0.0,0.0,0,1597803378200000.0,1597803378200000.0,5,11003600000000.0,11003600000000.0,5
a09135,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9987400000000.0,9987400000000.0,5,30805900000000.0,30805900000000.0,1,213980716035241.9,213980716035241.9,2,0.0,0.0,0,244786616035241.9,244786616035241.9,3,39949758778252.7,39949758778252.7,5
a15993,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,1827350000000.0,1827350000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1595070000000.0,1595070000000.0,3
a20456,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,20496135999892.48,20496135999892.48,2,0.0,0.0,0,0.0,0.0,0,22487287699892.48,22487287699892.48,3,13538626549540.52,13538626549540.52,6
a07771,3694474700000.0,3694474700000.0,3,0.0,0.0,0,0.0,0.0,0,5357455699790.3,5357455699790.3,5,22011000000.0,22011000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,25000000000.0,25000000000.0,5
a15525,0.0,0.0,0,0.0,0.0,0,5894207150000.0,5894207150000.0,5,5894207150000.0,5894207150000.0,5,5938260000000.0,5938260000000.0,5,0.0,0.0,0,195590000000.0,195590000000.0,1,0.0,0.0,0,2186770000000.0,2186770000000.0,3,34528346795112.887,34528346795112.887,7
a05905,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,52474990000000.0,52474990000000.0,1,61985381884411.266,61985381884411.266,4,0.0,0.0,0,0.0,0.0,0,62982522735838.4,62982522735838.4,5,63775168400000.0,63775168400000.0,9
a00022,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,317000567539.8884,317000567539.8884,5,50300000000.0,50300000000.0,5,0.0,0.0,0,0.0,0.0,0,50300000000.0,50300000000.0,5,1803998000000.0,1803998000000.0,5
a16164,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,59233014875000.0,59233014875000.0,1,7332937321155555.0,7332937321155555.0,4,0.0,0.0,0,0.0,0.0,0,7338726359231725.0,7338726359231725.0,5,75161172990000.0,75161172990000.0,9
a18126,899370000000.0,899370000000.0,1,0.0,0.0,0,0.0,0.0,0,899370000000.0,899370000000.0,1,1306480240000.0,1306480240000.0,5,826480240000.0,826480240000.0,1,0.0,0.0,0,0.0,0.0,0,826480240000.0,826480240000.0,1,899370000000.0,899370000000.0,1
a01008,276751569600000.0,276751569600000.0,8,0.0,0.0,0,0.0,0.0,0,334759769600000.0,334759769600000.0,10,1769374185900000.0,1769374185900000.0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,370159357499387.25,370159357499387.25,5
a26283,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5273750000000.0,5273750000000.0,5,319197520000000.0,319197520000000.0,4,112600000000000.0,112600000000000.0,4,0.0,0.0,0,434392074327881.44,434392074327881.44,10,9371900000000.0,9371900000000.0,10
a22372,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2178041831170.9,2178041831170.9,5,54998731600000.0,54998731600000.0,1,0.0,0.0,0,0.0,0.0,0,54998731600000.0,54998731600000.0,1,2205941800000.0,2205941800000.0,5
a21780,0.0,0.0,0,2453970899652.0,2453970899652.0,1,0.0,0.0,0,2453970899652.0,2453970899652.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,912410000000.0,912410000000.0,5
a20994,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,249821069500000.0,249821069500000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,49982000000000.0,49982000000000.0,1
a09371,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,948466400000.0,948466400000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,256480000000.0,256480000000.0,1
a21365,151261334974010.0,151261334974010.0,1,0.0,0.0,0,0.0,0.0,0,385618815143005.0,385618815143005.0,5,1299957998000000.2,1299957998000000.2,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,259991390000000.0,259991390000000.0,1
a03911,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,118321226604222.6,118321226604222.6,5,0.0,0.0,0,603738959997524.8,603738959997524.8,9,0.0,0.0,0,603738959997524.8,603738959997524.8,9,609592878998928.4,609592878998928.4,11
a12446,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,21021363575206.0,21021363575206.0,1,251512883599874.0,251512883599874.0,5,95749159999958.0,95749159999958.0,3,0.0,0.0,0,386738480763772.75,386738480763772.75,11,61155853575206.01,61155853575206.01,12
a16793,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,317677500000.0,317677500000.0,1,2537988229447.3804,2537988229447.3804,1,0.0,0.0,0,0.0,0.0,0,598885739396947.4,598885739396947.4,5,1665311500000.0,1665311500000.0,5
a28574,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,20409807967626.56,20409807967626.56,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2652030600000.0,2652030600000.0,5
a07103,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,20689000000000.0,20689000000000.0,5,91914123599873.98,91914123599873.98,3,39449159999957.99,39449159999957.99,1,0.0,0.0,0,169542443599831.97,169542443599831.97,5,24163800000000.0,24163800000000.0,5
a28840,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3066585590000.0,3066585590000.0,5,0.0,0.0,0,9722915249103.51,9722915249103.51,9,0.0,0.0,0,9722915249103.51,9722915249103.51,9,25138112219456.94,25138112219456.94,11
a28133,98936160000.0,98936160000.0,5,0.0,0.0,0,0.0,0.0,0,98936160000.0,98936160000.0,5,40206500000.0,40206500000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,15612800000.0,15612800000.0,1
