account,behavior_category
a08019,inactive
a26050,inactive
a09485,inactive
a15470,low_activity
a02774,inactive
a08445,low_activity
a07637,low_activity
a31461,inactive
a08667,inactive
a15248,inactive
a14666,low_activity
a30788,medium_activity_bidirectional
a11348,inactive
a29006,medium_activity_unidirectional
a29585,medium_activity_unidirectional
a02759,inactive
a05406,low_activity
a20185,inactive
a18469,inactive
a03915,low_activity
a16185,low_activity
a30508,medium_activity_unidirectional
a26500,medium_activity_unidirectional
a00498,low_activity
a28315,inactive
a15850,medium_activity_unidirectional
a11260,low_activity
a24311,medium_activity_unidirectional
a02221,inactive
a31369,inactive
a24149,inactive
a02259,inactive
a03578,medium_activity_bidirectional
a16024,medium_activity_bidirectional
a09135,low_activity
a15993,low_activity
a20456,low_activity
a07771,low_activity
a15525,low_activity
a25930,medium_activity_bidirectional
a05905,low_activity
a15664,inactive
a08214,inactive
a22452,medium_activity_bidirectional
a00022,low_activity
a16164,low_activity
a26209,medium_activity_bidirectional
a03058,inactive
a03827,inactive
a00699,medium_activity_bidirectional
a03570,inactive
a10685,inactive
a22875,inactive
a24421,medium_activity_unidirectional
a18126,low_activity
a01008,low_activity
a26283,low_activity
a29879,medium_activity_bidirectional
a22372,low_activity
a19733,inactive
a17588,inactive
a09324,inactive
a06632,medium_activity_unidirectional
a21780,low_activity
a20994,low_activity
a09371,low_activity
a10031,inactive
a21365,low_activity
a26812,inactive
a12265,inactive
a02900,medium_activity_unidirectional
a03911,low_activity
a04138,medium_activity_unidirectional
a17964,inactive
a21788,inactive
a11877,inactive
a00495,inactive
a00431,inactive
a16241,inactive
a27199,inactive
a12446,low_activity
a16793,low_activity
a23766,inactive
a07691,inactive
a10212,medium_activity_bidirectional
a06373,inactive
a14357,inactive
a29906,inactive
a28574,low_activity
a02993,medium_activity_unidirectional
a16879,inactive
a07103,low_activity
a28840,low_activity
a10559,inactive
a08649,medium_activity_unidirectional
a28133,low_activity
a08312,inactive
a05631,medium_activity_bidirectional
a27381,low_activity
a26973,medium_activity_bidirectional
a31444,medium_activity_unidirectional
a21533,low_activity
a03372,inactive
a27162,low_activity
a04574,inactive
a04855,low_activity
a06271,inactive
a17733,medium_activity_unidirectional
a26919,inactive
a01452,inactive
a10598,inactive
a02676,low_activity
a04806,low_activity
a26759,inactive
a16188,inactive
a01641,low_activity
a21140,low_activity
a25098,inactive
a27556,low_activity
a19157,inactive
a22146,inactive
a02162,medium_activity_bidirectional
a21035,inactive
a28424,low_activity
a31108,inactive
a01589,medium_activity_bidirectional
a11023,inactive
a23562,inactive
a13747,inactive
a29600,inactive
a20135,low_activity
a29920,inactive
a16772,inactive
a23765,inactive
a23870,inactive
a16193,medium_activity_bidirectional
a24435,low_activity
a21943,inactive
a20771,medium_activity_unidirectional
a05708,low_activity
a07245,inactive
a25393,low_activity
a04062,inactive
a21244,inactive
a27584,low_activity
a20478,low_activity
a11667,low_activity
a18375,inactive
a17231,inactive
a20162,inactive
a02975,inactive
a21587,low_activity
a04348,inactive
a13709,inactive
a11101,low_activity
a22827,medium_activity_bidirectional
a06990,inactive
a24597,medium_activity_unidirectional
a08197,low_activity
a02149,low_activity
a05714,inactive
a02549,low_activity
a06680,inactive
a21281,inactive
a02499,inactive
a21827,medium_activity_bidirectional
a00989,medium_activity_unidirectional
a20104,low_activity
a05757,medium_activity_bidirectional
a30117,medium_activity_bidirectional
a24081,medium_activity_bidirectional
a18009,inactive
a22940,medium_activity_unidirectional
a06679,medium_activity_bidirectional
a02356,inactive
a21117,low_activity
a00360,low_activity
a08486,medium_activity_unidirectional
a07063,medium_activity_bidirectional
a17785,low_activity
a27457,inactive
a15607,low_activity
a06640,inactive
a06038,low_activity
a08639,inactive
a04644,medium_activity_unidirectional
a04043,medium_activity_bidirectional
a09300,medium_activity_bidirectional
a24405,inactive
a12816,inactive
a05633,medium_activity_unidirectional
a28606,inactive
a10826,low_activity
a02217,inactive
a06716,inactive
a02697,medium_activity_unidirectional
a07699,medium_activity_bidirectional
a26405,inactive
a13232,low_activity
a20313,medium_activity_bidirectional
a14509,inactive
a00983,low_activity
a14683,medium_activity_bidirectional
a16627,inactive
a02342,medium_activity_unidirectional
a26464,inactive
a23703,medium_activity_bidirectional
a20329,low_activity
a27627,medium_activity_unidirectional
a29426,medium_activity_unidirectional
a21930,low_activity
a27380,medium_activity_unidirectional
a29783,inactive
a08143,inactive
a04911,inactive
a22518,inactive
a23966,low_activity
a19297,low_activity
a20831,inactive
a20496,low_activity
a12854,low_activity
a18801,low_activity
a27834,low_activity
a18786,inactive
