account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a16185,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2599320171976.726,2599320171976.726,5,225786712850000.0,225786712850000.0,7,22344770900000.0,22344770900000.0,2,0.0,0.0,0,961014946260000.0,961014946260000.0,15,16460982000000.0,16460982000000.0,17
a30508,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,6511380000000.0,6511380000000.0,16,0.0,0.0,0,6511380000000.0,6511380000000.0,16,14877210000000.0,14877210000000.0,9
a26500,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,270066279794252.25,270066279794252.25,21,0.0,0.0,0,0.0,0.0,0,270066279794252.25,270066279794252.25,21,13527350000000.0,13527350000000.0,21
a11260,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,51358097897.6,51358097897.6,5,747828998200000.0,747828998200000.0,4,0.0,0.0,0,0.0,0.0,0,1597803378200000.0,1597803378200000.0,5,11003600000000.0,11003600000000.0,5
a24311,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2994589632000.0,2994589632000.0,5,1655720000000.0,1655720000000.0,24,0.0,0.0,0,0.0,0.0,0,1655720000000.0,1655720000000.0,24,128124210600000.0,128124210600000.0,17
a09135,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9987400000000.0,9987400000000.0,5,30805900000000.0,30805900000000.0,1,213980716035241.9,213980716035241.9,2,0.0,0.0,0,244786616035241.9,244786616035241.9,3,39949758778252.7,39949758778252.7,5
a20456,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,20496135999892.48,20496135999892.48,2,0.0,0.0,0,0.0,0.0,0,22487287699892.48,22487287699892.48,3,13538626549540.52,13538626549540.52,6
a05905,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,52474990000000.0,52474990000000.0,1,61985381884411.266,61985381884411.266,4,0.0,0.0,0,0.0,0.0,0,62982522735838.4,62982522735838.4,5,63775168400000.0,63775168400000.0,9
a00022,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,317000567539.8884,317000567539.8884,5,50300000000.0,50300000000.0,5,0.0,0.0,0,0.0,0.0,0,50300000000.0,50300000000.0,5,1803998000000.0,1803998000000.0,5
a16164,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,59233014875000.0,59233014875000.0,1,7332937321155555.0,7332937321155555.0,4,0.0,0.0,0,0.0,0.0,0,7338726359231725.0,7338726359231725.0,5,75161172990000.0,75161172990000.0,9
a26283,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5273750000000.0,5273750000000.0,5,319197520000000.0,319197520000000.0,4,112600000000000.0,112600000000000.0,4,0.0,0.0,0,434392074327881.44,434392074327881.44,10,9371900000000.0,9371900000000.0,10
a22372,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2178041831170.9,2178041831170.9,5,54998731600000.0,54998731600000.0,1,0.0,0.0,0,0.0,0.0,0,54998731600000.0,54998731600000.0,1,2205941800000.0,2205941800000.0,5
a06632,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,17356805475000.0,17356805475000.0,9
a02900,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,893006487000.0,893006487000.0,5,13818138039821.602,13818138039821.602,18,151157806387.88,151157806387.88,1,1641642200000.0,1641642200000.0,2,21843499046209.484,21843499046209.484,25,7496461491943.05,7496461491943.05,25
a03911,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,118321226604222.6,118321226604222.6,5,0.0,0.0,0,603738959997524.8,603738959997524.8,9,0.0,0.0,0,603738959997524.8,603738959997524.8,9,609592878998928.4,609592878998928.4,11
a04138,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,99979202099999.98,99979202099999.98,5,459570617999369.94,459570617999369.94,15,197245799999789.97,197245799999789.97,5,0.0,0.0,0,847712217999160.0,847712217999160.0,25,1165964354490520.0,1165964354490520.0,25
a12446,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,21021363575206.0,21021363575206.0,1,251512883599874.0,251512883599874.0,5,95749159999958.0,95749159999958.0,3,0.0,0.0,0,386738480763772.75,386738480763772.75,11,61155853575206.01,61155853575206.01,12
a16793,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,317677500000.0,317677500000.0,1,2537988229447.3804,2537988229447.3804,1,0.0,0.0,0,0.0,0.0,0,598885739396947.4,598885739396947.4,5,1665311500000.0,1665311500000.0,5
a07103,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,20689000000000.0,20689000000000.0,5,91914123599873.98,91914123599873.98,3,39449159999957.99,39449159999957.99,1,0.0,0.0,0,169542443599831.97,169542443599831.97,5,24163800000000.0,24163800000000.0,5
a28840,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3066585590000.0,3066585590000.0,5,0.0,0.0,0,9722915249103.51,9722915249103.51,9,0.0,0.0,0,9722915249103.51,9722915249103.51,9,25138112219456.94,25138112219456.94,11
a08649,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,26742788700000.0,26742788700000.0,3,45080547700000.0,45080547700000.0,9,0.0,0.0,0,86754884452000.0,86754884452000.0,18,2304325389768.7812,2304325389768.7812,18
a27381,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,21435326400000.0,21435326400000.0,3,2828176300000.0,2828176300000.0,4,577190900000.0,577190900000.0,1,0.0,0.0,0,3405367200000.0,3405367200000.0,5,62064890400000.0,62064890400000.0,7
a26919,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,49955310000000.0,49955310000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,51567887308200.0,51567887308200.0,5
a02676,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,37560440176365.36,37560440176365.36,5,8189548000000.0,8189548000000.0,1,851070900000.0,851070900000.0,1,0.0,0.0,0,692066142500000.0,692066142500000.0,5,206570922499693.8,206570922499693.8,7
a21140,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,475000000000.0,475000000000.0,5,19883713200000.0,19883713200000.0,1,40212526573957.49,40212526573957.49,4,0.0,0.0,0,60096239773957.484,60096239773957.484,6,6319544949178.79,6319544949178.79,9
a28424,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,43276288600000.0,43276288600000.0,1,2250000000000.0,2250000000000.0,1,0.0,0.0,0,0.0,0.0,0,2250000000000.0,2250000000000.0,1,28291828600000.0,28291828600000.0,5
