account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a06969,720949489955872.8,720949489955872.8,3,24971658449003.156,24971658449003.156,2,0.0,0.0,0,745921148404875.9,745921148404875.9,5,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a23498,1147290400000.0,1147290400000.0,2,0.0,0.0,0,0.0,0.0,0,2580762400000.0,2580762400000.0,5,2276900000000.0,2276900000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a05005,720949489955872.8,720949489955872.8,3,24971658449003.156,24971658449003.156,2,0.0,0.0,0,745921148404875.9,745921148404875.9,5,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a13467,0.0,0.0,8,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,201155680000.0,201155680000.0,11,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a21302,720949489955872.8,720949489955872.8,3,24971658449003.156,24971658449003.156,2,0.0,0.0,0,745921148404875.9,745921148404875.9,5,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a29062,248461468500000.0,248461468500000.0,3,22256218800000.0,22256218800000.0,6,0.0,0.0,0,1.06909765461e+16,1.06909765461e+16,15,189909808500000.0,189909808500000.0,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a25348,4898710500000.0,4898710500000.0,1,0.0,0.0,0,0.0,0.0,0,169584910500000.0,169584910500000.0,5,920753700000.0,920753700000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a15119,4898710500000.0,4898710500000.0,1,0.0,0.0,0,0.0,0.0,0,169584910500000.0,169584910500000.0,5,2102057040000.0,2102057040000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a09426,73741939200000.0,73741939200000.0,4,0.0,0.0,0,0.0,0.0,0,93378460800000.0,93378460800000.0,5,1087056021197.0,1087056021197.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a04740,0.0,0.0,0,0.0,0.0,0,908246600000.0,908246600000.0,9,908246600000.0,908246600000.0,9,754084740958.846,754084740958.846,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a04133,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7.204999139e+16,7.204999139e+16,1,7.20489958e+16,7.20489958e+16,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a10783,4898710500000.0,4898710500000.0,1,0.0,0.0,0,0.0,0.0,0,169584910500000.0,169584910500000.0,5,877377122254.2439,877377122254.2439,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a01684,720949489955872.8,720949489955872.8,3,24971658449003.156,24971658449003.156,2,0.0,0.0,0,745921148404875.9,745921148404875.9,5,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a27144,83307424100000.0,83307424100000.0,4,0.0,0.0,0,0.0,0.0,0,92187221800000.0,92187221800000.0,5,160942000000.0,160942000000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a27898,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,699704000000.0,699704000000.0,2,137968000000.0,137968000000.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a00962,0.0,0.0,0,1623060000000.0,1623060000000.0,5,0.0,0.0,0,1623060000000.0,1623060000000.0,5,1249600000000.0,1249600000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a15654,0.0,0.0,0,72462200000000.0,72462200000000.0,5,0.0,0.0,0,72462200000000.0,72462200000000.0,5,35295828363200.0,35295828363200.0,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a01323,222883700000000.0,222883700000000.0,5,0.0,0.0,0,0.0,0.0,0,222883700000000.0,222883700000000.0,5,224729000000000.0,224729000000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a10732,720949489955872.8,720949489955872.8,3,24971658449003.156,24971658449003.156,2,0.0,0.0,0,745921148404875.9,745921148404875.9,5,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a26488,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,4943896450000.0,4943896450000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a21062,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,1,470080000.0,470080000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a00208,0.0,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,995219080000.0,995219080000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
