account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a08667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a31108,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,188660000000.0,188660000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a07245,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a20162,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a06640,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,18900000000.0,18900000000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a14509,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a24559,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a10844,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a28976,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,842500000.0,842500000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a16398,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5989499950000.0,5989499950000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
