account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a15470,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,345289924000000.0,345289924000000.0,10,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,54957142200000.0,54957142200000.0,5
a08445,64880000000.0,64880000000.0,2,0.0,0.0,0,0.0,0.0,0,64880000000.0,64880000000.0,2,57820000000.0,57820000000.0,5,540470000000.0,540470000000.0,4,0.0,0.0,0,0.0,0.0,0,540470000000.0,540470000000.0,4,1560866540000.0,1560866540000.0,6
a07637,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,485094412737461.06,485094412737461.06,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,85859222605778.05,85859222605778.05,5
a14666,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,129197802000000.0,129197802000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,89317702043500.0,89317702043500.0,5
a30788,5528164500000.0,5528164500000.0,5,10118700000000.0,10118700000000.0,10,0.0,0.0,0,27661128300000.0,27661128300000.0,25,271728718000000.0,271728718000000.0,25,456441269533813.25,456441269533813.25,3,28396136392799.84,28396136392799.84,1,0.0,0.0,0,584824805926613.0,584824805926613.0,5,58119183600000.0,58119183600000.0,9
a29006,796940673721.018,796940673721.018,15,0.0,0.0,0,0.0,0.0,0,796940673721.018,796940673721.018,15,14521735993872.2,14521735993872.2,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1678974500000.0,1678974500000.0,5
a29585,527288890000000.0,527288890000000.0,10,32444685500000.0,32444685500000.0,10,0.0,0.0,0,560308930500000.0,560308930500000.0,25,546623011500004.2,546623011500004.2,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,109319444300000.0,109319444300000.0,5
a05406,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,14259259680000.0,14259259680000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7407180000000.0,7407180000000.0,3
a03915,299991915000000.0,299991915000000.0,3,0.0,0.0,0,0.0,0.0,0,1169984985000000.0,1169984985000000.0,6,188614287400000.0,188614287400000.0,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11529018877595.258,11529018877595.258,5
a16185,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2599320171976.726,2599320171976.726,5,225786712850000.0,225786712850000.0,7,22344770900000.0,22344770900000.0,2,0.0,0.0,0,961014946260000.0,961014946260000.0,15,16460982000000.0,16460982000000.0,17
a30508,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,6511380000000.0,6511380000000.0,16,0.0,0.0,0,6511380000000.0,6511380000000.0,16,14877210000000.0,14877210000000.0,9
a26500,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,270066279794252.25,270066279794252.25,21,0.0,0.0,0,0.0,0.0,0,270066279794252.25,270066279794252.25,21,13527350000000.0,13527350000000.0,21
a00498,126440000000.0,126440000000.0,2,101370000000.0,101370000000.0,1,0.0,0.0,0,347710000000.0,347710000000.0,5,354273550000.0,354273550000.0,6,70901330000.0,70901330000.0,2,92939230000.0,92939230000.0,1,0.0,0.0,0,233391120000.0,233391120000.0,5,637560000000.0,637560000000.0,5
a15850,1971392408200000.0,1971392408200000.0,13,197069100000000.0,197069100000000.0,5,0.0,0.0,0,2358525208100000.0,2358525208100000.0,20,469720916000000.0,469720916000000.0,21,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,47565111200000.0,47565111200000.0,5
a11260,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,51358097897.6,51358097897.6,5,747828998200000.0,747828998200000.0,4,0.0,0.0,0,0.0,0.0,0,1597803378200000.0,1597803378200000.0,5,11003600000000.0,11003600000000.0,5
a24311,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2994589632000.0,2994589632000.0,5,1655720000000.0,1655720000000.0,24,0.0,0.0,0,0.0,0.0,0,1655720000000.0,1655720000000.0,24,128124210600000.0,128124210600000.0,17
a03578,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,70973935872000.0,70973935872000.0,5,203982936660000.0,203982936660000.0,6,70438854660000.0,70438854660000.0,4,0.0,0.0,0,274421791320000.0,274421791320000.0,10,71042700000000.0,71042700000000.0,10
a16024,178407308000000.0,178407308000000.0,12,62905607200000.0,62905607200000.0,4,0.0,0.0,0,298410883120000.0,298410883120000.0,20,408061462000000.0,408061462000000.0,21,5081815460958.553,5081815460958.553,10,0.0,0.0,0,0.0,0.0,0,9613901182382.438,9613901182382.438,25,125525575000000.0,125525575000000.0,25
a09135,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9987400000000.0,9987400000000.0,5,30805900000000.0,30805900000000.0,1,213980716035241.9,213980716035241.9,2,0.0,0.0,0,244786616035241.9,244786616035241.9,3,39949758778252.7,39949758778252.7,5
a15993,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,1827350000000.0,1827350000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1595070000000.0,1595070000000.0,3
a20456,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,20496135999892.48,20496135999892.48,2,0.0,0.0,0,0.0,0.0,0,22487287699892.48,22487287699892.48,3,13538626549540.52,13538626549540.52,6
a07771,3694474700000.0,3694474700000.0,3,0.0,0.0,0,0.0,0.0,0,5357455699790.3,5357455699790.3,5,22011000000.0,22011000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,25000000000.0,25000000000.0,5
a15525,0.0,0.0,0,0.0,0.0,0,5894207150000.0,5894207150000.0,5,5894207150000.0,5894207150000.0,5,5938260000000.0,5938260000000.0,5,0.0,0.0,0,195590000000.0,195590000000.0,1,0.0,0.0,0,2186770000000.0,2186770000000.0,3,34528346795112.887,34528346795112.887,7
a25930,162538929996905.44,162538929996905.44,10,0.0,0.0,0,0.0,0.0,0,162538929996905.44,162538929996905.44,10,52443661197217.5,52443661197217.5,13,333379486869396.44,333379486869396.44,12,0.0,0.0,0,0.0,0.0,0,353845052549396.5,353845052549396.5,14,2060463439996936.0,2060463439996936.0,15
a05905,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,52474990000000.0,52474990000000.0,1,61985381884411.266,61985381884411.266,4,0.0,0.0,0,0.0,0.0,0,62982522735838.4,62982522735838.4,5,63775168400000.0,63775168400000.0,9
a22452,89211939999740.66,89211939999740.66,5,0.0,0.0,0,0.0,0.0,0,89211939999740.66,89211939999740.66,5,96143346827000.0,96143346827000.0,9,189696828000000.0,189696828000000.0,21,0.0,0.0,0,0.0,0.0,0,189696828000000.0,189696828000000.0,21,388594875098703.25,388594875098703.25,21
a00022,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,317000567539.8884,317000567539.8884,5,50300000000.0,50300000000.0,5,0.0,0.0,0,0.0,0.0,0,50300000000.0,50300000000.0,5,1803998000000.0,1803998000000.0,5
a16164,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,59233014875000.0,59233014875000.0,1,7332937321155555.0,7332937321155555.0,4,0.0,0.0,0,0.0,0.0,0,7338726359231725.0,7338726359231725.0,5,75161172990000.0,75161172990000.0,9
a26209,6229181010542.246,6229181010542.246,4,0.0,0.0,0,0.0,0.0,0,6229181010542.246,6229181010542.246,4,101554148252115.23,101554148252115.23,7,18873988391364.176,18873988391364.176,15,3050388480598.217,3050388480598.217,5,0.0,0.0,0,25544593381700.195,25544593381700.195,25,110335724500000.0,110335724500000.0,25
a00699,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,222567800000000.0,222567800000000.0,13,212603047199747.97,212603047199747.97,8,78898319999915.98,78898319999915.98,2,0.0,0.0,0,371772583544184.9,371772583544184.9,20,153230127499991.0,153230127499991.0,21
a24421,318407306727825.0,318407306727825.0,15,701015413000000.0,701015413000000.0,5,0.0,0.0,0,1046071752727825.0,1046071752727825.0,25,148536839529950.4,148536839529950.4,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,29980070173065.68,29980070173065.68,5
