account,traditional_category
a08019,isolated
a26050,isolated
a09485,isolated
a15470,forward_only
a02774,isolated
a08445,both_directions
a07637,forward_only
a31461,isolated
a08667,isolated
a15248,isolated
a14666,forward_only
a30788,both_directions
a11348,isolated
a29006,forward_only
a29585,forward_only
a02759,isolated
a05406,forward_only
a20185,isolated
a18469,isolated
a03915,forward_only
a16185,backward_only
a30508,backward_only
a26500,backward_only
a00498,both_directions
a28315,isolated
a15850,forward_only
a11260,backward_only
a24311,backward_only
a02221,isolated
a31369,isolated
a24149,isolated
a02259,isolated
a03578,both_directions
a16024,both_directions
a09135,backward_only
a15993,forward_only
a20456,backward_only
a07771,forward_only
a15525,both_directions
a25930,both_directions
a05905,backward_only
a15664,isolated
a08214,isolated
a22452,both_directions
a00022,backward_only
a16164,backward_only
a26209,both_directions
a03058,isolated
a03827,isolated
a00699,both_directions
a03570,isolated
a10685,isolated
a22875,isolated
a24421,forward_only
a18126,both_directions
a01008,forward_only
a26283,backward_only
a29879,both_directions
a22372,backward_only
a19733,isolated
a17588,isolated
a09324,isolated
a06632,backward_only
a21780,forward_only
a20994,forward_only
a09371,forward_only
a10031,isolated
a21365,forward_only
a26812,isolated
a12265,isolated
a02900,backward_only
a03911,backward_only
a04138,backward_only
a17964,isolated
a21788,isolated
a11877,isolated
a00495,isolated
a00431,isolated
a16241,isolated
a27199,isolated
a12446,backward_only
a16793,backward_only
a23766,isolated
a07691,isolated
a10212,both_directions
a06373,isolated
a14357,isolated
a29906,isolated
a28574,forward_only
a02993,forward_only
a16879,isolated
a07103,backward_only
a28840,backward_only
a10559,isolated
a08649,backward_only
a28133,forward_only
a08312,isolated
a05631,both_directions
a27381,backward_only
a26973,both_directions
a31444,forward_only
a21533,forward_only
a03372,isolated
a27162,both_directions
a04574,isolated
a04855,forward_only
a06271,isolated
a17733,forward_only
a26919,isolated
a01452,isolated
a10598,isolated
a02676,backward_only
a04806,backward_only
a26759,isolated
a16188,isolated
a01641,forward_only
a21140,backward_only
a25098,isolated
a27556,both_directions
a19157,isolated
a22146,isolated
a02162,both_directions
a21035,isolated
a28424,backward_only
a31108,isolated
a01589,both_directions
a11023,isolated
a23562,isolated
a13747,isolated
a29600,isolated
a20135,backward_only
a29920,isolated
a16772,isolated
a23765,isolated
a23870,isolated
a16193,both_directions
a24435,both_directions
a21943,isolated
a20771,backward_only
a05708,forward_only
a07245,isolated
a25393,both_directions
a04062,isolated
a21244,isolated
a27584,forward_only
a20478,backward_only
a11667,both_directions
a18375,isolated
a17231,isolated
a20162,isolated
