account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a14666,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,129197802000000.0,129197802000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,89317702043500.0,89317702043500.0,5
a05406,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,14259259680000.0,14259259680000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7407180000000.0,7407180000000.0,3
a03915,299991915000000.0,299991915000000.0,3,0.0,0.0,0,0.0,0.0,0,1169984985000000.0,1169984985000000.0,6,188614287400000.0,188614287400000.0,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11529018877595.258,11529018877595.258,5
a11260,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,51358097897.6,51358097897.6,5,747828998200000.0,747828998200000.0,4,0.0,0.0,0,0.0,0.0,0,1597803378200000.0,1597803378200000.0,5,11003600000000.0,11003600000000.0,5
a09135,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9987400000000.0,9987400000000.0,5,30805900000000.0,30805900000000.0,1,213980716035241.9,213980716035241.9,2,0.0,0.0,0,244786616035241.9,244786616035241.9,3,39949758778252.7,39949758778252.7,5
a15993,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,1827350000000.0,1827350000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1595070000000.0,1595070000000.0,3
a20456,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,20496135999892.48,20496135999892.48,2,0.0,0.0,0,0.0,0.0,0,22487287699892.48,22487287699892.48,3,13538626549540.52,13538626549540.52,6
a07771,3694474700000.0,3694474700000.0,3,0.0,0.0,0,0.0,0.0,0,5357455699790.3,5357455699790.3,5,22011000000.0,22011000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,25000000000.0,25000000000.0,5
a05905,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,52474990000000.0,52474990000000.0,1,61985381884411.266,61985381884411.266,4,0.0,0.0,0,0.0,0.0,0,62982522735838.4,62982522735838.4,5,63775168400000.0,63775168400000.0,9
a00022,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,317000567539.8884,317000567539.8884,5,50300000000.0,50300000000.0,5,0.0,0.0,0,0.0,0.0,0,50300000000.0,50300000000.0,5,1803998000000.0,1803998000000.0,5
a16164,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,59233014875000.0,59233014875000.0,1,7332937321155555.0,7332937321155555.0,4,0.0,0.0,0,0.0,0.0,0,7338726359231725.0,7338726359231725.0,5,75161172990000.0,75161172990000.0,9
a18126,899370000000.0,899370000000.0,1,0.0,0.0,0,0.0,0.0,0,899370000000.0,899370000000.0,1,1306480240000.0,1306480240000.0,5,826480240000.0,826480240000.0,1,0.0,0.0,0,0.0,0.0,0,826480240000.0,826480240000.0,1,899370000000.0,899370000000.0,1
a22372,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2178041831170.9,2178041831170.9,5,54998731600000.0,54998731600000.0,1,0.0,0.0,0,0.0,0.0,0,54998731600000.0,54998731600000.0,1,2205941800000.0,2205941800000.0,5
