score_range,total_samples,bad_count,good_count,bad_ratio,threshold_start,threshold_end
绝对Good区域,1665,0,1665,0.0,999,999
"(36, 37]",420,47,373,0.11190476190476191,36,37
"(35, 36]",37,0,37,0.0,35,36
"(34, 35]",42,0,42,0.0,34,35
"(33, 34]",61,0,61,0.0,33,34
"(32, 33]",24,0,24,0.0,32,33
"(31, 32]",23,0,23,0.0,31,32
"(30, 31]",22,0,22,0.0,30,31
"(29, 30]",17,0,17,0.0,29,30
"(28, 29]",9,0,9,0.0,28,29
"(26, 27]",7,0,7,0.0,26,27
"(25, 26]",5,0,5,0.0,25,26
"(24, 25]",18,0,18,0.0,24,25
"(23, 24]",11,0,11,0.0,23,24
"(22, 23]",11,0,11,0.0,22,23
"(21, 22]",21,0,21,0.0,21,22
"(20, 21]",10,0,10,0.0,20,21
"(19, 20]",15,0,15,0.0,19,20
"(18, 19]",10,0,10,0.0,18,19
"(17, 18]",18,0,18,0.0,17,18
"(16, 17]",104,0,104,0.0,16,17
"(15, 16]",39,0,39,0.0,15,16
"(14, 15]",34,0,34,0.0,14,15
"(13, 14]",21,0,21,0.0,13,14
"(12, 13]",37,0,37,0.0,12,13
"(11, 12]",29,0,29,0.0,11,12
"(10, 11]",25,0,25,0.0,10,11
"(9, 10]",19,0,19,0.0,9,10
"(8, 9]",30,0,30,0.0,8,9
"(7, 8]",34,0,34,0.0,7,8
"(6, 7]",27,0,27,0.0,6,7
"(5, 6]",45,0,45,0.0,5,6
"(4, 5]",49,0,49,0.0,4,5
"(3, 4]",57,0,57,0.0,3,4
"(2, 3]",76,0,76,0.0,2,3
"(1, 2]",89,0,89,0.0,1,2
"(0, 1]",169,0,169,0.0,0,1
score=0,5893,27,5866,0.004581707110130663,0,0
