ID,Predict,group_range,label,bad_probability
a00046,37,绝对Good区域,definitely_good,1.0
a00093,37,绝对Good区域,definitely_good,1.0
a00268,37,绝对Good区域,definitely_good,1.0
a00410,37,绝对Good区域,definitely_good,1.0
a00516,37,绝对Good区域,definitely_good,1.0
a00604,37,绝对Good区域,definitely_good,1.0
a00629,37,绝对Good区域,definitely_good,1.0
a00639,37,绝对Good区域,definitely_good,1.0
a00676,37,绝对Good区域,definitely_good,1.0
a00787,37,绝对Good区域,definitely_good,1.0
a00804,37,绝对Good区域,definitely_good,1.0
a00834,37,绝对Good区域,definitely_good,1.0
a00927,37,绝对Good区域,definitely_good,1.0
a01078,37,绝对Good区域,definitely_good,1.0
a01100,37,绝对Good区域,definitely_good,1.0
a01113,37,绝对Good区域,definitely_good,1.0
a01120,37,绝对Good区域,definitely_good,1.0
a01218,37,绝对Good区域,definitely_good,1.0
a01219,37,绝对Good区域,definitely_good,1.0
a01244,37,绝对Good区域,definitely_good,1.0
a01308,37,绝对Good区域,definitely_good,1.0
a01349,37,绝对Good区域,definitely_good,1.0
a01369,37,绝对Good区域,definitely_good,1.0
a01516,37,绝对Good区域,definitely_good,1.0
a01712,37,绝对Good区域,definitely_good,1.0
a01733,37,绝对Good区域,definitely_good,1.0
a01745,37,绝对Good区域,definitely_good,1.0
a01771,37,绝对Good区域,definitely_good,1.0
a01778,37,绝对Good区域,definitely_good,1.0
a01780,37,绝对Good区域,definitely_good,1.0
a01791,37,绝对Good区域,definitely_good,1.0
a01807,37,绝对Good区域,definitely_good,1.0
a02053,37,绝对Good区域,definitely_good,1.0
a02125,37,绝对Good区域,definitely_good,1.0
a02215,37,绝对Good区域,definitely_good,1.0
a02249,37,绝对Good区域,definitely_good,1.0
a02368,37,绝对Good区域,definitely_good,1.0
a02553,37,绝对Good区域,definitely_good,1.0
a02568,37,绝对Good区域,definitely_good,1.0
a02601,37,绝对Good区域,definitely_good,1.0
a02732,37,绝对Good区域,definitely_good,1.0
a02772,37,绝对Good区域,definitely_good,1.0
a02876,37,绝对Good区域,definitely_good,1.0
a03030,37,绝对Good区域,definitely_good,1.0
a03437,37,绝对Good区域,definitely_good,1.0
a03519,37,绝对Good区域,definitely_good,1.0
a03525,37,绝对Good区域,definitely_good,1.0
a03641,37,绝对Good区域,definitely_good,1.0
a03720,37,绝对Good区域,definitely_good,1.0
a03728,37,绝对Good区域,definitely_good,1.0
a03769,37,绝对Good区域,definitely_good,1.0
a03811,37,绝对Good区域,definitely_good,1.0
a03817,37,绝对Good区域,definitely_good,1.0
a03820,37,绝对Good区域,definitely_good,1.0
a03927,37,绝对Good区域,definitely_good,1.0
a04076,37,绝对Good区域,definitely_good,1.0
a04080,37,绝对Good区域,definitely_good,1.0
a04185,37,绝对Good区域,definitely_good,1.0
a04259,37,绝对Good区域,definitely_good,1.0
a04262,37,绝对Good区域,definitely_good,1.0
a04294,37,绝对Good区域,definitely_good,1.0
a04427,37,绝对Good区域,definitely_good,1.0
a04543,37,绝对Good区域,definitely_good,1.0
a04589,37,绝对Good区域,definitely_good,1.0
a04693,37,绝对Good区域,definitely_good,1.0
a04713,37,绝对Good区域,definitely_good,1.0
a04743,37,绝对Good区域,definitely_good,1.0
a04806,37,绝对Good区域,definitely_good,1.0
a04849,37,绝对Good区域,definitely_good,1.0
a04906,37,绝对Good区域,definitely_good,1.0
a04914,37,绝对Good区域,definitely_good,1.0
a04922,37,绝对Good区域,definitely_good,1.0
a04997,37,绝对Good区域,definitely_good,1.0
a05116,37,绝对Good区域,definitely_good,1.0
a05133,37,绝对Good区域,definitely_good,1.0
a05200,37,绝对Good区域,definitely_good,1.0
a05300,37,绝对Good区域,definitely_good,1.0
a05344,37,绝对Good区域,definitely_good,1.0
a05479,37,绝对Good区域,definitely_good,1.0
a05554,37,绝对Good区域,definitely_good,1.0
a05573,37,绝对Good区域,definitely_good,1.0
a05593,37,绝对Good区域,definitely_good,1.0
a05840,37,绝对Good区域,definitely_good,1.0
a05971,37,绝对Good区域,definitely_good,1.0
a06029,37,绝对Good区域,definitely_good,1.0
a06058,37,绝对Good区域,definitely_good,1.0
a06103,37,绝对Good区域,definitely_good,1.0
a06204,37,绝对Good区域,definitely_good,1.0
a06259,37,绝对Good区域,definitely_good,1.0
a06497,37,绝对Good区域,definitely_good,1.0
a06566,37,绝对Good区域,definitely_good,1.0
a06609,37,绝对Good区域,definitely_good,1.0
a06693,37,绝对Good区域,definitely_good,1.0
a06752,37,绝对Good区域,definitely_good,1.0
a06928,37,绝对Good区域,definitely_good,1.0
a06953,37,绝对Good区域,definitely_good,1.0
a07052,37,绝对Good区域,definitely_good,1.0
a07109,37,绝对Good区域,definitely_good,1.0
a07115,37,绝对Good区域,definitely_good,1.0
a07341,37,绝对Good区域,definitely_good,1.0
a07360,37,绝对Good区域,definitely_good,1.0
a07437,37,绝对Good区域,definitely_good,1.0
a07520,37,绝对Good区域,definitely_good,1.0
a07689,37,绝对Good区域,definitely_good,1.0
a07715,37,绝对Good区域,definitely_good,1.0
a07832,37,绝对Good区域,definitely_good,1.0
a07889,37,绝对Good区域,definitely_good,1.0
a07959,37,绝对Good区域,definitely_good,1.0
a08044,37,绝对Good区域,definitely_good,1.0
a08105,37,绝对Good区域,definitely_good,1.0
a08258,37,绝对Good区域,definitely_good,1.0
a08275,37,绝对Good区域,definitely_good,1.0
a08442,37,绝对Good区域,definitely_good,1.0
a08612,37,绝对Good区域,definitely_good,1.0
a08751,37,绝对Good区域,definitely_good,1.0
a08888,37,绝对Good区域,definitely_good,1.0
a08898,37,绝对Good区域,definitely_good,1.0
a08932,37,绝对Good区域,definitely_good,1.0
a09112,37,绝对Good区域,definitely_good,1.0
a09131,37,绝对Good区域,definitely_good,1.0
a09144,37,绝对Good区域,definitely_good,1.0
a09162,37,绝对Good区域,definitely_good,1.0
a09178,37,绝对Good区域,definitely_good,1.0
a09244,37,绝对Good区域,definitely_good,1.0
a09316,37,绝对Good区域,definitely_good,1.0
a09349,37,绝对Good区域,definitely_good,1.0
a09378,37,绝对Good区域,definitely_good,1.0
a09397,37,绝对Good区域,definitely_good,1.0
a09407,37,绝对Good区域,definitely_good,1.0
a09461,37,绝对Good区域,definitely_good,1.0
a09568,37,绝对Good区域,definitely_good,1.0
a09635,37,绝对Good区域,definitely_good,1.0
a09979,37,绝对Good区域,definitely_good,1.0
a10009,37,绝对Good区域,definitely_good,1.0
a10023,37,绝对Good区域,definitely_good,1.0
a10103,37,绝对Good区域,definitely_good,1.0
a10172,37,绝对Good区域,definitely_good,1.0
a10287,37,绝对Good区域,definitely_good,1.0
a10483,37,绝对Good区域,definitely_good,1.0
a10506,37,绝对Good区域,definitely_good,1.0
a10566,37,绝对Good区域,definitely_good,1.0
a10666,37,绝对Good区域,definitely_good,1.0
a10696,37,绝对Good区域,definitely_good,1.0
a10704,37,绝对Good区域,definitely_good,1.0
a10738,37,绝对Good区域,definitely_good,1.0
a10791,37,绝对Good区域,definitely_good,1.0
a10874,37,绝对Good区域,definitely_good,1.0
a10905,37,绝对Good区域,definitely_good,1.0
a11099,37,绝对Good区域,definitely_good,1.0
a11101,37,绝对Good区域,definitely_good,1.0
a11156,37,绝对Good区域,definitely_good,1.0
a11175,37,绝对Good区域,definitely_good,1.0
a11186,37,绝对Good区域,definitely_good,1.0
a11238,37,绝对Good区域,definitely_good,1.0
a11426,37,绝对Good区域,definitely_good,1.0
a11623,37,绝对Good区域,definitely_good,1.0
a11656,37,绝对Good区域,definitely_good,1.0
a11682,37,绝对Good区域,definitely_good,1.0
a12020,37,绝对Good区域,definitely_good,1.0
a12047,37,绝对Good区域,definitely_good,1.0
a12049,37,绝对Good区域,definitely_good,1.0
a12078,37,绝对Good区域,definitely_good,1.0
a12089,37,绝对Good区域,definitely_good,1.0
a12104,37,绝对Good区域,definitely_good,1.0
a12128,37,绝对Good区域,definitely_good,1.0
a12130,37,绝对Good区域,definitely_good,1.0
a12156,37,绝对Good区域,definitely_good,1.0
a12219,37,绝对Good区域,definitely_good,1.0
a12355,37,绝对Good区域,definitely_good,1.0
a12458,37,绝对Good区域,definitely_good,1.0
a12610,37,绝对Good区域,definitely_good,1.0
a12655,37,绝对Good区域,definitely_good,1.0
a12683,37,绝对Good区域,definitely_good,1.0
a12719,37,绝对Good区域,definitely_good,1.0
a12790,37,绝对Good区域,definitely_good,1.0
a12869,37,绝对Good区域,definitely_good,1.0
a12927,37,绝对Good区域,definitely_good,1.0
a12964,37,绝对Good区域,definitely_good,1.0
a13155,37,绝对Good区域,definitely_good,1.0
a13250,37,绝对Good区域,definitely_good,1.0
a13252,37,绝对Good区域,definitely_good,1.0
a13289,37,绝对Good区域,definitely_good,1.0
a13339,37,绝对Good区域,definitely_good,1.0
a13437,37,绝对Good区域,definitely_good,1.0
a13468,37,绝对Good区域,definitely_good,1.0
a13496,37,绝对Good区域,definitely_good,1.0
a13520,37,绝对Good区域,definitely_good,1.0
a13561,37,绝对Good区域,definitely_good,1.0
a13609,37,绝对Good区域,definitely_good,1.0
a13742,37,绝对Good区域,definitely_good,1.0
a13762,37,绝对Good区域,definitely_good,1.0
a13782,37,绝对Good区域,definitely_good,1.0
a13785,37,绝对Good区域,definitely_good,1.0
a13796,37,绝对Good区域,definitely_good,1.0
a13818,37,绝对Good区域,definitely_good,1.0
a13837,37,绝对Good区域,definitely_good,1.0
a13876,37,绝对Good区域,definitely_good,1.0
a13891,37,绝对Good区域,definitely_good,1.0
a13912,37,绝对Good区域,definitely_good,1.0
a13920,37,绝对Good区域,definitely_good,1.0
a13942,37,绝对Good区域,definitely_good,1.0
a13975,37,绝对Good区域,definitely_good,1.0
a14092,37,绝对Good区域,definitely_good,1.0
a14157,37,绝对Good区域,definitely_good,1.0
a14171,37,绝对Good区域,definitely_good,1.0
a14193,37,绝对Good区域,definitely_good,1.0
a14310,37,绝对Good区域,definitely_good,1.0
a14401,37,绝对Good区域,definitely_good,1.0
a14428,37,绝对Good区域,definitely_good,1.0
a14477,37,绝对Good区域,definitely_good,1.0
a14499,37,绝对Good区域,definitely_good,1.0
