account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a30788,5528164500000.0,5528164500000.0,5,10118700000000.0,10118700000000.0,10,0.0,0.0,0,27661128300000.0,27661128300000.0,25,271728718000000.0,271728718000000.0,25,456441269533813.25,456441269533813.25,3,28396136392799.84,28396136392799.84,1,0.0,0.0,0,584824805926613.0,584824805926613.0,5,58119183600000.0,58119183600000.0,9
a03578,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,70973935872000.0,70973935872000.0,5,203982936660000.0,203982936660000.0,6,70438854660000.0,70438854660000.0,4,0.0,0.0,0,274421791320000.0,274421791320000.0,10,71042700000000.0,71042700000000.0,10
a16024,178407308000000.0,178407308000000.0,12,62905607200000.0,62905607200000.0,4,0.0,0.0,0,298410883120000.0,298410883120000.0,20,408061462000000.0,408061462000000.0,21,5081815460958.553,5081815460958.553,10,0.0,0.0,0,0.0,0.0,0,9613901182382.438,9613901182382.438,25,125525575000000.0,125525575000000.0,25
a25930,162538929996905.44,162538929996905.44,10,0.0,0.0,0,0.0,0.0,0,162538929996905.44,162538929996905.44,10,52443661197217.5,52443661197217.5,13,333379486869396.44,333379486869396.44,12,0.0,0.0,0,0.0,0.0,0,353845052549396.5,353845052549396.5,14,2060463439996936.0,2060463439996936.0,15
a22452,89211939999740.66,89211939999740.66,5,0.0,0.0,0,0.0,0.0,0,89211939999740.66,89211939999740.66,5,96143346827000.0,96143346827000.0,9,189696828000000.0,189696828000000.0,21,0.0,0.0,0,0.0,0.0,0,189696828000000.0,189696828000000.0,21,388594875098703.25,388594875098703.25,21
a26209,6229181010542.246,6229181010542.246,4,0.0,0.0,0,0.0,0.0,0,6229181010542.246,6229181010542.246,4,101554148252115.23,101554148252115.23,7,18873988391364.176,18873988391364.176,15,3050388480598.217,3050388480598.217,5,0.0,0.0,0,25544593381700.195,25544593381700.195,25,110335724500000.0,110335724500000.0,25
a00699,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,222567800000000.0,222567800000000.0,13,212603047199747.97,212603047199747.97,8,78898319999915.98,78898319999915.98,2,0.0,0.0,0,371772583544184.9,371772583544184.9,20,153230127499991.0,153230127499991.0,21
a29879,178423879999481.3,178423879999481.3,10,0.0,0.0,0,0.0,0.0,0,178423879999481.3,178423879999481.3,10,91924953773000.0,91924953773000.0,13,55765453320000.0,55765453320000.0,30,0.0,0.0,0,0.0,0.0,0,55765453320000.0,55765453320000.0,30,94377908000000.0,94377908000000.0,12
a10212,199470000000.0,199470000000.0,5,0.0,0.0,0,0.0,0.0,0,199470000000.0,199470000000.0,5,242473450000.0,242473450000.0,6,285172758000.0,285172758000.0,6,0.0,0.0,0,0.0,0.0,0,285172758000.0,285172758000.0,6,199470000000.0,199470000000.0,6
a05631,10303616600000.0,10303616600000.0,5,0.0,0.0,0,150024000000000.0,150024000000000.0,10,169764205035260.47,169764205035260.47,25,1047492035853602.8,1047492035853602.8,25,5098253800000.0,5098253800000.0,5,0.0,0.0,0,0.0,0.0,0,5098253800000.0,5098253800000.0,5,270437515570721.84,270437515570721.84,9
a26973,508020000000.0,508020000000.0,11,0.0,0.0,0,0.0,0.0,0,508020000000.0,508020000000.0,11,484080000000.0,484080000000.0,12,4473240000000.0,4473240000000.0,16,0.0,0.0,0,0.0,0.0,0,4473240000000.0,4473240000000.0,16,31049204361243.316,31049204361243.316,16
a02162,0.0,0.0,0,0.0,0.0,9,0.0,0.0,0,1189290000000.0,1189290000000.0,15,1381773418976500.0,1381773418976500.0,17,137147095593812.0,137147095593812.0,13,24042350732000.0,24042350732000.0,3,0.0,0.0,0,3893924672285598.5,3893924672285598.5,25,1748461500000000.0,1748461500000000.0,25
a01589,0.0,0.0,0,2.63884685e+16,2.63884685e+16,10,0.0,0.0,0,2.63884685e+16,2.63884685e+16,10,1.0560155e+16,1.0560155e+16,10,0.0,0.0,0,1.0560155e+16,1.0560155e+16,10,0.0,0.0,0,1.0560155e+16,1.0560155e+16,10,2.639145989e+16,2.639145989e+16,11
