account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a29006,796940673721.018,796940673721.018,15,0.0,0.0,0,0.0,0.0,0,796940673721.018,796940673721.018,15,14521735993872.2,14521735993872.2,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1678974500000.0,1678974500000.0,5
a29585,527288890000000.0,527288890000000.0,10,32444685500000.0,32444685500000.0,10,0.0,0.0,0,560308930500000.0,560308930500000.0,25,546623011500004.2,546623011500004.2,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,109319444300000.0,109319444300000.0,5
a30508,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,6511380000000.0,6511380000000.0,16,0.0,0.0,0,6511380000000.0,6511380000000.0,16,14877210000000.0,14877210000000.0,9
a26500,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,270066279794252.25,270066279794252.25,21,0.0,0.0,0,0.0,0.0,0,270066279794252.25,270066279794252.25,21,13527350000000.0,13527350000000.0,21
a15850,1971392408200000.0,1971392408200000.0,13,197069100000000.0,197069100000000.0,5,0.0,0.0,0,2358525208100000.0,2358525208100000.0,20,469720916000000.0,469720916000000.0,21,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,47565111200000.0,47565111200000.0,5
a24311,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2994589632000.0,2994589632000.0,5,1655720000000.0,1655720000000.0,24,0.0,0.0,0,0.0,0.0,0,1655720000000.0,1655720000000.0,24,128124210600000.0,128124210600000.0,17
a24421,318407306727825.0,318407306727825.0,15,701015413000000.0,701015413000000.0,5,0.0,0.0,0,1046071752727825.0,1046071752727825.0,25,148536839529950.4,148536839529950.4,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,29980070173065.68,29980070173065.68,5
a06632,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,17356805475000.0,17356805475000.0,9
a02900,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,893006487000.0,893006487000.0,5,13818138039821.602,13818138039821.602,18,151157806387.88,151157806387.88,1,1641642200000.0,1641642200000.0,2,21843499046209.484,21843499046209.484,25,7496461491943.05,7496461491943.05,25
a04138,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,99979202099999.98,99979202099999.98,5,459570617999369.94,459570617999369.94,15,197245799999789.97,197245799999789.97,5,0.0,0.0,0,847712217999160.0,847712217999160.0,25,1165964354490520.0,1165964354490520.0,25
a02993,101400000000000.0,101400000000000.0,6,102507600000000.0,102507600000000.0,3,627600000000.0,627600000000.0,3,211330800000000.0,211330800000000.0,15,62554106595787.39,62554106595787.39,17,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12490947680000.0,12490947680000.0,5
a08649,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,26742788700000.0,26742788700000.0,3,45080547700000.0,45080547700000.0,9,0.0,0.0,0,86754884452000.0,86754884452000.0,18,2304325389768.7812,2304325389768.7812,18
a31444,0.0,0.0,0,1.43997e+16,1.43997e+16,25,0.0,0.0,0,1.43997e+16,1.43997e+16,25,427815316865902.5,427815316865902.5,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,75740648489513.03,75740648489513.03,5
a17733,189786886000000.0,189786886000000.0,5,19468440000000.0,19468440000000.0,5,56416113600000.0,56416113600000.0,5,2786244344560000.0,2786244344560000.0,25,15281565929215.207,15281565929215.207,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3076570050000.0,3076570050000.0,5
a20771,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,2.38827628e+16,2.38827628e+16,20,0.0,0.0,0,2.38827628e+16,2.38827628e+16,20,23153500000.0,23153500000.0,21
a24597,2452013536000000.0,2452013536000000.0,10,0.0,0.0,0,74352675000000.0,74352675000000.0,15,2526366211000000.0,2526366211000000.0,25,1134151800000000.0,1134151800000000.0,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,226895360000000.1,226895360000000.1,5
a00989,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,1177096360000000.0,1177096360000000.0,12,0.0,0.0,0,0.0,0.0,0,1177096360000000.0,1177096360000000.0,12,1.029298656e+17,1.029298656e+17,13
a22940,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,94585924913166.16,94585924913166.16,5,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,279642059400000.0,279642059400000.0,9
