account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a09485,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1218039271102000.0,1218039271102000.0,5
a26812,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,6043825361245.27,6043825361245.27,5
a04806,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,610181319933722.5,610181319933722.5,8,28396136392799.84,28396136392799.84,1,0.0,0.0,0,738564856326522.4,738564856326522.4,10,129104109819876.52,129104109819876.52,13
a21943,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,9507894900000.0,9507894900000.0,5
a20104,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,31114647840.588,31114647840.588,1,31114647840.588,31114647840.588,1,98831552008524.12,98831552008524.12,5
a20329,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,32521999997670.0,32521999997670.0,3,0.0,0.0,0,0.0,0.0,0,32521999997670.0,32521999997670.0,3,26192178555089.027,26192178555089.027,7
a27380,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7260740393624.607,7260740393624.607,13,6945712417039.215,6945712417039.215,6,0.0,0.0,0,23176363117353.363,23176363117353.363,25,271569471000000.0,271569471000000.0,25
a12854,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,91914123599873.98,91914123599873.98,3,39449159999957.99,39449159999957.99,1,0.0,0.0,0,169542443599831.97,169542443599831.97,5,683333374205.0,683333374205.0,5
a31337,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,456441269533813.25,456441269533813.25,3,28396136392799.84,28396136392799.84,1,0.0,0.0,0,584824805926613.0,584824805926613.0,7,3723933930000.0,3723933930000.0,9
a14982,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,34805000000000.0,34805000000000.0,5
