account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a02936,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,21088461068980.47,21088461068980.47,5,0.0,0.0,0,24858880000000.0,24858880000000.0,8,0.0,0.0,0,24858880000000.0,24858880000000.0,8,0.0,0.0,0
a13658,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,71914000000000.0,71914000000000.0,5,0.0,0.0,18,0.0,0.0,0,0.0,0.0,0,0.0,0.0,18,0.0,0.0,0
a28995,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,772025225000.0,772025225000.0,3,0.0,0.0,0,1003821500000000.0,1003821500000000.0,10,0.0,0.0,0,1003821500000000.0,1003821500000000.0,10,0.0,0.0,0
a14116,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1946509430000.0,1946509430000.0,3,0.0,0.0,0,4958000000000.0,4958000000000.0,1,0.0,0.0,0,6944770000000.0,6944770000000.0,2,0.0,0.0,0
a00160,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,18,0.0,0.0,0,0.0,0.0,0,0.0,0.0,18,0.0,0.0,0
a28200,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1643099000000.0,1643099000000.0,5,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a10467,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a15342,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,969340000000.0,969340000000.0,1,0.0,0.0,0,1.3000517e+16,1.3000517e+16,5,0.0,0.0,0,1.3000517e+16,1.3000517e+16,5,0.0,0.0,0
a01480,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a08921,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a24898,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,29368424800000.0,29368424800000.0,5,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a30080,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a14278,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1827650000000.0,1827650000000.0,5,0.0,0.0,0,0.0,0.0,8,0.0,0.0,0,0.0,0.0,8,0.0,0.0,0
a26739,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,118401613452.41447,118401613452.41447,5,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0
a21172,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,144000950000.0,144000950000.0,3,0.0,0.0,0,0.0,0.0,0,578136600000.0,578136600000.0,5,578136600000.0,578136600000.0,5,0.0,0.0,0
a25248,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,2496755401272036.5,2496755401272036.5,8,2916713821272036.5,2916713821272036.5,10,0.0,0.0,0
a22154,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
