account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a15470,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,345289924000000.0,345289924000000.0,10,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,54957142200000.0,54957142200000.0,5
a07637,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,485094412737461.06,485094412737461.06,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,85859222605778.05,85859222605778.05,5
a14666,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,129197802000000.0,129197802000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,89317702043500.0,89317702043500.0,5
a29006,796940673721.018,796940673721.018,15,0.0,0.0,0,0.0,0.0,0,796940673721.018,796940673721.018,15,14521735993872.2,14521735993872.2,15,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1678974500000.0,1678974500000.0,5
a29585,527288890000000.0,527288890000000.0,10,32444685500000.0,32444685500000.0,10,0.0,0.0,0,560308930500000.0,560308930500000.0,25,546623011500004.2,546623011500004.2,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,109319444300000.0,109319444300000.0,5
a05406,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,14259259680000.0,14259259680000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7407180000000.0,7407180000000.0,3
a03915,299991915000000.0,299991915000000.0,3,0.0,0.0,0,0.0,0.0,0,1169984985000000.0,1169984985000000.0,6,188614287400000.0,188614287400000.0,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11529018877595.258,11529018877595.258,5
a15850,1971392408200000.0,1971392408200000.0,13,197069100000000.0,197069100000000.0,5,0.0,0.0,0,2358525208100000.0,2358525208100000.0,20,469720916000000.0,469720916000000.0,21,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,47565111200000.0,47565111200000.0,5
a15993,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,1827350000000.0,1827350000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1595070000000.0,1595070000000.0,3
a07771,3694474700000.0,3694474700000.0,3,0.0,0.0,0,0.0,0.0,0,5357455699790.3,5357455699790.3,5,22011000000.0,22011000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,25000000000.0,25000000000.0,5
a24421,318407306727825.0,318407306727825.0,15,701015413000000.0,701015413000000.0,5,0.0,0.0,0,1046071752727825.0,1046071752727825.0,25,148536839529950.4,148536839529950.4,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,29980070173065.68,29980070173065.68,5
a01008,276751569600000.0,276751569600000.0,8,0.0,0.0,0,0.0,0.0,0,334759769600000.0,334759769600000.0,10,1769374185900000.0,1769374185900000.0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,370159357499387.25,370159357499387.25,5
a20994,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,0.0,0.0,0,6.102589886885998e+17,6.102589886885998e+17,5,249821069500000.0,249821069500000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,49982000000000.0,49982000000000.0,1
a09371,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,948466400000.0,948466400000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,256480000000.0,256480000000.0,1
a21365,151261334974010.0,151261334974010.0,1,0.0,0.0,0,0.0,0.0,0,385618815143005.0,385618815143005.0,5,1299957998000000.2,1299957998000000.2,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,259991390000000.0,259991390000000.0,1
a28574,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,20409807967626.56,20409807967626.56,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2652030600000.0,2652030600000.0,5
a02993,101400000000000.0,101400000000000.0,6,102507600000000.0,102507600000000.0,3,627600000000.0,627600000000.0,3,211330800000000.0,211330800000000.0,15,62554106595787.39,62554106595787.39,17,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12490947680000.0,12490947680000.0,5
a28133,98936160000.0,98936160000.0,5,0.0,0.0,0,0.0,0.0,0,98936160000.0,98936160000.0,5,40206500000.0,40206500000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,15612800000.0,15612800000.0,1
a31444,0.0,0.0,0,1.43997e+16,1.43997e+16,25,0.0,0.0,0,1.43997e+16,1.43997e+16,25,427815316865902.5,427815316865902.5,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,75740648489513.03,75740648489513.03,5
a21533,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,529445324000000.0,529445324000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.08459584062e+16,1.08459584062e+16,5
a04855,90243329500000.0,90243329500000.0,5,7414473500000.0,7414473500000.0,5,0.0,0.0,0,309877814000000.0,309877814000000.0,25,66598887000000.0,66598887000000.0,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,6243323163240.617,6243323163240.617,5
a17733,189786886000000.0,189786886000000.0,5,19468440000000.0,19468440000000.0,5,56416113600000.0,56416113600000.0,5,2786244344560000.0,2786244344560000.0,25,15281565929215.207,15281565929215.207,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3076570050000.0,3076570050000.0,5
a01641,1441898979911745.5,1441898979911745.5,6,49943316898006.31,49943316898006.31,4,0.0,0.0,0,1491842296809751.8,1491842296809751.8,10,4742689009147.5,4742689009147.5,10,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,959790000000.0,959790000000.0,1
a05708,529234527806806.0,529234527806806.0,4,0.0,0.0,0,0.0,0.0,0,533064327806806.0,533064327806806.0,5,243639500000.0,243639500000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,164687900000.0,164687900000.0,1
a27584,1098787780000.0,1098787780000.0,2,0.0,0.0,0,0.0,0.0,0,1098787780000.0,1098787780000.0,2,199580000000.0,199580000000.0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5092541338177.479,5092541338177.479,5
a24597,2452013536000000.0,2452013536000000.0,10,0.0,0.0,0,74352675000000.0,74352675000000.0,15,2526366211000000.0,2526366211000000.0,25,1134151800000000.0,1134151800000000.0,25,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,226895360000000.1,226895360000000.1,5
