account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a08019,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7468572665850.58,7468572665850.58,5
a26050,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,187316200000.0,187316200000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,19396500000.0,19396500000.0,5
a31461,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,35429450357064.266,35429450357064.266,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,35477851112330.38,35477851112330.38,5
a15248,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,891180000000.0,891180000000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,891390000000.0,891390000000.0,1
a11348,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,14964720000000.0,14964720000000.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,14995800000000.0,14995800000000.0,1
a20185,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.3699961e+16,1.3699961e+16,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.3699991599999998e+16,1.3699991599999998e+16,2
a18469,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5780000000.0,5780000000.0,1
a28315,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,199566164000000.0,199566164000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,509959680000000.0,509959680000000.0,3
a02221,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,991600000000.0,991600000000.0,1
a24149,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,10445600000.0,10445600000.0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,25228000000.0,25228000000.0,1
a02259,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,434000000000.0,434000000000.0,5
a15664,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0009949112753994e+16,1.0009949112753994e+16,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3109686173383426.0,3109686173383426.0,5
a08214,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,168780000000.0,168780000000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,186000000000.0,186000000000.0,1
a03058,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1533444281090000.0,1533444281090000.0,4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,125507787330240.0,125507787330240.0,5
a03827,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,449999999100.0,449999999100.0,4
a03570,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,175610000000.0,175610000000.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,917750000000.0,917750000000.0,1
a10685,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,17796714700000.0,17796714700000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,18137530000000.0,18137530000000.0,3
a22875,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2
a19733,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,19684874639610.87,19684874639610.87,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3244242835776.244,3244242835776.244,5
a17588,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,173010000000.0,173010000000.0,5
a09324,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,73200000000.0,73200000000.0,1
a10031,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,509959050000000.0,509959050000000.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,509986770000000.0,509986770000000.0,3
a12265,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,6360875900000.0,6360875900000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,6376205900000.0,6376205900000.0,1
a17964,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3857257333864.731,3857257333864.731,5
a21788,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,199651153500000.0,199651153500000.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,199674883500000.0,199674883500000.0,1
a11877,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,755178500000.0,755178500000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,778133600000.0,778133600000.0,3
a00495,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,599291744600000.0,599291744600000.0,5
a00431,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2124147500000.0,2124147500000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2136327500000.0,2136327500000.0,1
a27199,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2448512337828.096,2448512337828.096,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2498845000000.0,2498845000000.0,1
a23766,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,15847140000.0,15847140000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,198740000000.0,198740000000.0,1
a07691,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,46465936999693.61,46465936999693.61,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,46601793900000.0,46601793900000.0,2
a06373,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,344982898894355.44,344982898894355.44,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,310999468699951.06,310999468699951.06,1
a14357,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,34936516997665.85,34936516997665.85,5
a29906,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,129572996920637.7,129572996920637.7,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,70364365920637.695,70364365920637.695,5
