account,interaction_category
a08019,B_in_B_out
a26050,B_in_B_out
a09485,A_in_B_in
a15470,A_out_B_in_B_out
a02774,B_in
a08445,A_in_A_out_B_in_B_out
a07637,A_out_B_in_B_out
a31461,B_in_B_out
a08667,B_out
a15248,B_in_B_out
a14666,A_out_B_in_B_out
a30788,A_in_A_out_B_in_B_out
a11348,B_in_B_out
a29006,A_out_B_in_B_out
a29585,A_out_B_in_B_out
a02759,B_in
a05406,A_out_B_in_B_out
a20185,B_in_B_out
a18469,B_in_B_out
a03915,A_out_B_in_B_out
a16185,A_in_B_in_B_out
a30508,A_in_B_in_B_out
a26500,A_in_B_in_B_out
a00498,A_in_A_out_B_in_B_out
a28315,B_in_B_out
a15850,A_out_B_in_B_out
a11260,A_in_B_in_B_out
a24311,A_in_B_in_B_out
a02221,B_in_B_out
a31369,B_in
a24149,B_in_B_out
a02259,B_in_B_out
a03578,A_in_A_out_B_in_B_out
a16024,A_in_A_out_B_in_B_out
a09135,A_in_B_in_B_out
a15993,A_out_B_in_B_out
a20456,A_in_B_in_B_out
a07771,A_out_B_in_B_out
a15525,A_in_A_out_B_in_B_out
a25930,A_in_A_out_B_in_B_out
a05905,A_in_B_in_B_out
a15664,B_in_B_out
a08214,B_in_B_out
a22452,A_in_A_out_B_in_B_out
a00022,A_in_B_in_B_out
a16164,A_in_B_in_B_out
a26209,A_in_A_out_B_in_B_out
a03058,B_in_B_out
a03827,B_in_B_out
a00699,A_in_A_out_B_in_B_out
a03570,B_in_B_out
a10685,B_in_B_out
a22875,B_in_B_out
a24421,A_out_B_in_B_out
a18126,A_in_A_out_B_in_B_out
a01008,A_out_B_in_B_out
a26283,A_in_B_in_B_out
a29879,A_in_A_out_B_in_B_out
a22372,A_in_B_in_B_out
a19733,B_in_B_out
a17588,B_in_B_out
a09324,B_in_B_out
a06632,A_in_B_in_B_out
a21780,A_out_B_in
a20994,A_out_B_in_B_out
a09371,A_out_B_in_B_out
a10031,B_in_B_out
a21365,A_out_B_in_B_out
a26812,A_in_B_in
a12265,B_in_B_out
a02900,A_in_B_in_B_out
a03911,A_in_B_in_B_out
a04138,A_in_B_in_B_out
a17964,B_in_B_out
a21788,B_in_B_out
a11877,B_in_B_out
a00495,B_in_B_out
a00431,B_in_B_out
a16241,B_in
a27199,B_in_B_out
a12446,A_in_B_in_B_out
a16793,A_in_B_in_B_out
a23766,B_in_B_out
a07691,B_in_B_out
a10212,A_in_A_out_B_in_B_out
a06373,B_in_B_out
a14357,B_in_B_out
a29906,B_in_B_out
a28574,A_out_B_in_B_out
a02993,A_out_B_in_B_out
a16879,B_in
a07103,A_in_B_in_B_out
a28840,A_in_B_in_B_out
a10559,B_in_B_out
a08649,A_in_B_in_B_out
a28133,A_out_B_in_B_out
a08312,B_in_B_out
a05631,A_in_A_out_B_in_B_out
a27381,A_in_B_in_B_out
a26973,A_in_A_out_B_in_B_out
a31444,A_out_B_in_B_out
a21533,A_out_B_in_B_out
a03372,B_in_B_out
a27162,A_in_A_out_B_in_B_out
a04574,B_in_B_out
a04855,A_out_B_in_B_out
a06271,B_in_B_out
a17733,A_out_B_in_B_out
a26919,A_in_B_in_B_out
a01452,B_in
a10598,B_in_B_out
a02676,A_in_B_in_B_out
a04806,A_in_B_in
a26759,B_in_B_out
a16188,B_in_B_out
a01641,A_out_B_in_B_out
a21140,A_in_B_in_B_out
a25098,B_in
a27556,A_in_A_out_B_in_B_out
a19157,B_in_B_out
a22146,B_in_B_out
a02162,A_in_A_out_B_in_B_out
a21035,B_in_B_out
a28424,A_in_B_in_B_out
a31108,B_out
a01589,A_in_A_out_B_in_B_out
a11023,B_in_B_out
a23562,B_in_B_out
a13747,B_in_B_out
a29600,B_in_B_out
a20135,A_in_B_in_B_out
a29920,B_in_B_out
a16772,B_in_B_out
a23765,B_in_B_out
a23870,B_in_B_out
a16193,A_in_A_out_B_in_B_out
a24435,A_in_A_out_B_in_B_out
a21943,A_in_B_in
a20771,A_in_B_in_B_out
a05708,A_out_B_in_B_out
a07245,B_out
a25393,A_in_A_out_B_in_B_out
a04062,B_in_B_out
a21244,B_in_B_out
a27584,A_out_B_in_B_out
a20478,A_in_B_in_B_out
a11667,A_in_A_out_B_in_B_out
a18375,B_in_B_out
a17231,B_in_B_out
a20162,B_out
a02975,B_in_B_out
a21587,A_in_B_in_B_out
a04348,B_in_B_out
a13709,B_in
a11101,A_in_B_in_B_out
a22827,A_in_A_out_B_in_B_out
a06990,B_in_B_out
a24597,A_out_B_in_B_out
a08197,A_in_A_out_B_in_B_out
a02149,A_in_A_out_B_in_B_out
a05714,B_in
a02549,A_out_B_in_B_out
a06680,B_in_B_out
a21281,B_in_B_out
a02499,B_in_B_out
a21827,A_in_A_out_B_in_B_out
a00989,A_in_B_in_B_out
a20104,A_in_B_in
a05757,A_in_A_out_B_in_B_out
a30117,A_in_A_out_B_in_B_out
a24081,A_in_A_out_B_in_B_out
a18009,B_in_B_out
a22940,A_in_B_in_B_out
a06679,A_in_A_out_B_in_B_out
a02356,B_in
a21117,A_in_A_out_B_in_B_out
a00360,A_in_A_out_B_in_B_out
a08486,A_out_B_in_B_out
a07063,A_in_A_out_B_in_B_out
a17785,A_in_B_in_B_out
a27457,B_in_B_out
a15607,A_in_A_out_B_in_B_out
a06640,B_out
a06038,A_in_B_in_B_out
a08639,B_in_B_out
a04644,A_in_B_in_B_out
a04043,A_in_A_out_B_in_B_out
a09300,A_in_A_out_B_in_B_out
a24405,B_in
a12816,B_in_B_out
a05633,A_out_B_in_B_out
a28606,B_in
a10826,A_out_B_in_B_out
a02217,B_in_B_out
a06716,B_in_B_out
a02697,A_out_B_in_B_out
a07699,A_in_A_out_B_in_B_out
a26405,B_in_B_out
a13232,A_in_A_out_B_in_B_out
a20313,A_in_A_out_B_in_B_out
a14509,B_out
a00983,A_out_B_in_B_out
a14683,A_in_A_out_B_in_B_out
a16627,B_in_B_out
a02342,A_out_B_in_B_out
a26464,B_in_B_out
a23703,A_in_A_out_B_in_B_out
a20329,A_in_B_in
a27627,A_in_B_in_B_out
a29426,A_in_B_in_B_out
a21930,A_in_B_in_B_out
a27380,A_in_B_in
a29783,B_in_B_out
a08143,B_in_B_out
a04911,B_in_B_out
a22518,B_in_B_out
a23966,A_out_B_in_B_out
a19297,A_in_B_in_B_out
a20831,B_in_B_out
a20496,A_in_B_in_B_out
a12854,A_in_B_in
a18801,A_in_A_out_B_in_B_out
a27834,A_in_B_in_B_out
a18786,B_in_B_out
a08896,A_in_B_in_B_out
a04923,A_in_A_out_B_in_B_out
a28739,B_in_B_out
a20667,A_out_B_in_B_out
a20508,B_in_B_out
a18499,A_in_B_in_B_out
a10173,B_in_B_out
a25246,B_in
a01121,B_in_B_out
a16305,B_in_B_out
a09849,B_in_B_out
a30128,A_in_A_out_B_in_B_out
a19642,A_in_A_out_B_in_B_out
a24634,B_in_B_out
a19209,B_in_B_out
a30685,B_in
a07964,B_in
a03028,A_in_B_in_B_out
a22249,A_in_B_in_B_out
a08769,A_in_B_in_B_out
a00183,B_in_B_out
a16433,B_in_B_out
a07178,B_in_B_out
a12116,B_in_B_out
a10832,A_in_A_out_B_in_B_out
a26184,B_in_B_out
a18297,B_in_B_out
a25813,A_in_B_in_B_out
a06518,B_in_B_out
a17795,A_in_B_in_B_out
a09480,A_in_A_out_B_in_B_out
a24559,B_out
a03359,B_in_B_out
a24190,A_in_A_out_B_in_B_out
a28689,B_in_B_out
a25147,B_in_B_out
a16810,A_out_B_in_B_out
a09035,B_in_B_out
a11389,A_in_B_in_B_out
a21024,B_in_B_out
a02431,A_out_B_in_B_out
a03325,B_in_B_out
a17333,A_in_B_in_B_out
a30619,A_in_A_out_B_in_B_out
a18572,B_in_B_out
a11149,A_in_A_out_B_in_B_out
a05909,B_in_B_out
a09362,A_in_B_in_B_out
a07207,A_out_B_in_B_out
a05156,A_in_A_out_B_in_B_out
a14935,B_in_B_out
a07199,B_in_B_out
a24254,B_in_B_out
a02501,B_in_B_out
a06594,B_in_B_out
a10844,B_out
a11339,B_in_B_out
a30627,B_in_B_out
a26017,A_in_B_in_B_out
a22608,B_in_B_out
a15655,B_in_B_out
a12432,B_in_B_out
a12969,B_in
a08698,B_in_B_out
a15433,B_in_B_out
a00158,B_in_B_out
a21745,A_out_B_in_B_out
a22327,B_in
a25026,A_out_B_in_B_out
a03893,B_in_B_out
a12749,A_out_B_in_B_out
a25060,A_out_B_in_B_out
a03249,B_in_B_out
a11637,B_in_B_out
a27086,A_in_B_in_B_out
