account,profit_category
a08019,loss_or_zero
a26050,loss_or_zero
a09485,loss_or_zero
a15470,very_high_profit
a02774,loss_or_zero
a08445,very_high_profit
a07637,very_high_profit
a31461,loss_or_zero
a08667,loss_or_zero
a15248,loss_or_zero
a14666,very_high_profit
a30788,very_high_profit
a11348,loss_or_zero
a29006,very_high_profit
a29585,very_high_profit
a02759,loss_or_zero
a05406,very_high_profit
a20185,loss_or_zero
a18469,loss_or_zero
a03915,very_high_profit
a16185,very_high_profit
a30508,very_high_profit
a26500,very_high_profit
a00498,very_high_profit
a28315,loss_or_zero
a15850,very_high_profit
a11260,very_high_profit
a24311,very_high_profit
a02221,loss_or_zero
a31369,loss_or_zero
a24149,loss_or_zero
a02259,loss_or_zero
a03578,very_high_profit
a16024,very_high_profit
a09135,very_high_profit
a15993,very_high_profit
a20456,very_high_profit
a07771,very_high_profit
a15525,very_high_profit
a25930,very_high_profit
a05905,very_high_profit
a15664,loss_or_zero
a08214,loss_or_zero
a22452,very_high_profit
a00022,very_high_profit
a16164,very_high_profit
a26209,very_high_profit
a03058,loss_or_zero
a03827,loss_or_zero
a00699,very_high_profit
a03570,loss_or_zero
a10685,loss_or_zero
a22875,loss_or_zero
a24421,very_high_profit
a18126,very_high_profit
a01008,very_high_profit
a26283,very_high_profit
a29879,very_high_profit
a22372,very_high_profit
a19733,loss_or_zero
a17588,loss_or_zero
a09324,loss_or_zero
a06632,loss_or_zero
a21780,very_high_profit
a20994,very_high_profit
a09371,very_high_profit
a10031,loss_or_zero
a21365,very_high_profit
a26812,loss_or_zero
a12265,loss_or_zero
a02900,very_high_profit
a03911,very_high_profit
a04138,very_high_profit
a17964,loss_or_zero
a21788,loss_or_zero
a11877,loss_or_zero
a00495,loss_or_zero
a00431,loss_or_zero
a16241,loss_or_zero
a27199,loss_or_zero
a12446,very_high_profit
a16793,very_high_profit
a23766,loss_or_zero
a07691,loss_or_zero
a10212,very_high_profit
a06373,loss_or_zero
a14357,loss_or_zero
a29906,loss_or_zero
a28574,very_high_profit
a02993,very_high_profit
a16879,loss_or_zero
a07103,very_high_profit
a28840,very_high_profit
a10559,loss_or_zero
a08649,very_high_profit
a28133,very_high_profit
a08312,loss_or_zero
a05631,very_high_profit
a27381,very_high_profit
a26973,very_high_profit
a31444,very_high_profit
a21533,very_high_profit
a03372,loss_or_zero
a27162,very_high_profit
a04574,loss_or_zero
a04855,very_high_profit
a06271,loss_or_zero
a17733,very_high_profit
a26919,loss_or_zero
a01452,loss_or_zero
a10598,loss_or_zero
a02676,very_high_profit
a04806,very_high_profit
a26759,loss_or_zero
a16188,loss_or_zero
a01641,very_high_profit
a21140,very_high_profit
a25098,loss_or_zero
a27556,very_high_profit
a19157,loss_or_zero
a22146,loss_or_zero
a02162,very_high_profit
a21035,loss_or_zero
a28424,very_high_profit
a31108,loss_or_zero
a01589,very_high_profit
a11023,loss_or_zero
a23562,loss_or_zero
a13747,loss_or_zero
a29600,loss_or_zero
a20135,very_high_profit
a29920,loss_or_zero
a16772,loss_or_zero
a23765,loss_or_zero
a23870,loss_or_zero
a16193,very_high_profit
a24435,very_high_profit
a21943,loss_or_zero
a20771,very_high_profit
a05708,very_high_profit
a07245,loss_or_zero
a25393,very_high_profit
a04062,loss_or_zero
a21244,loss_or_zero
a27584,very_high_profit
a20478,very_high_profit
a11667,very_high_profit
