account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a08445,64880000000.0,64880000000.0,2,0.0,0.0,0,0.0,0.0,0,64880000000.0,64880000000.0,2,57820000000.0,57820000000.0,5,540470000000.0,540470000000.0,4,0.0,0.0,0,0.0,0.0,0,540470000000.0,540470000000.0,4,1560866540000.0,1560866540000.0,6
a30788,5528164500000.0,5528164500000.0,5,10118700000000.0,10118700000000.0,10,0.0,0.0,0,27661128300000.0,27661128300000.0,25,271728718000000.0,271728718000000.0,25,456441269533813.25,456441269533813.25,3,28396136392799.84,28396136392799.84,1,0.0,0.0,0,584824805926613.0,584824805926613.0,5,58119183600000.0,58119183600000.0,9
a00498,126440000000.0,126440000000.0,2,101370000000.0,101370000000.0,1,0.0,0.0,0,347710000000.0,347710000000.0,5,354273550000.0,354273550000.0,6,70901330000.0,70901330000.0,2,92939230000.0,92939230000.0,1,0.0,0.0,0,233391120000.0,233391120000.0,5,637560000000.0,637560000000.0,5
a03578,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,70973935872000.0,70973935872000.0,5,203982936660000.0,203982936660000.0,6,70438854660000.0,70438854660000.0,4,0.0,0.0,0,274421791320000.0,274421791320000.0,10,71042700000000.0,71042700000000.0,10
a16024,178407308000000.0,178407308000000.0,12,62905607200000.0,62905607200000.0,4,0.0,0.0,0,298410883120000.0,298410883120000.0,20,408061462000000.0,408061462000000.0,21,5081815460958.553,5081815460958.553,10,0.0,0.0,0,0.0,0.0,0,9613901182382.438,9613901182382.438,25,125525575000000.0,125525575000000.0,25
a15525,0.0,0.0,0,0.0,0.0,0,5894207150000.0,5894207150000.0,5,5894207150000.0,5894207150000.0,5,5938260000000.0,5938260000000.0,5,0.0,0.0,0,195590000000.0,195590000000.0,1,0.0,0.0,0,2186770000000.0,2186770000000.0,3,34528346795112.887,34528346795112.887,7
a25930,162538929996905.44,162538929996905.44,10,0.0,0.0,0,0.0,0.0,0,162538929996905.44,162538929996905.44,10,52443661197217.5,52443661197217.5,13,333379486869396.44,333379486869396.44,12,0.0,0.0,0,0.0,0.0,0,353845052549396.5,353845052549396.5,14,2060463439996936.0,2060463439996936.0,15
a22452,89211939999740.66,89211939999740.66,5,0.0,0.0,0,0.0,0.0,0,89211939999740.66,89211939999740.66,5,96143346827000.0,96143346827000.0,9,189696828000000.0,189696828000000.0,21,0.0,0.0,0,0.0,0.0,0,189696828000000.0,189696828000000.0,21,388594875098703.25,388594875098703.25,21
a26209,6229181010542.246,6229181010542.246,4,0.0,0.0,0,0.0,0.0,0,6229181010542.246,6229181010542.246,4,101554148252115.23,101554148252115.23,7,18873988391364.176,18873988391364.176,15,3050388480598.217,3050388480598.217,5,0.0,0.0,0,25544593381700.195,25544593381700.195,25,110335724500000.0,110335724500000.0,25
a00699,89203654000000.0,89203654000000.0,6,31452803600000.0,31452803600000.0,2,0.0,0.0,0,149205441560000.0,149205441560000.0,10,222567800000000.0,222567800000000.0,13,212603047199747.97,212603047199747.97,8,78898319999915.98,78898319999915.98,2,0.0,0.0,0,371772583544184.9,371772583544184.9,20,153230127499991.0,153230127499991.0,21
