account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a15233,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,4744439622083.48,4744439622083.48,5,23773317197406.51,23773317197406.51,32,6424183562985.467,6424183562985.467,2,0.0,0.0,0,30197500760391.977,30197500760391.977,34,21798960000000.0,21798960000000.0,16
a11194,0.0,0.0,24,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24,2813272000000.0,2813272000000.0,8,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,358463537887.4261,358463537887.4261,5
a07501,0.0,0.0,0,103910792000000.0,103910792000000.0,24,0.0,0.0,0,103910792000000.0,103910792000000.0,24,37628447720000.0,37628447720000.0,8,1384179789285869.2,1384179789285869.2,10,103910792000000.0,103910792000000.0,24,0.0,0.0,0,1488090581285869.2,1488090581285869.2,34,124560317600000.0,124560317600000.0,16
a26355,0.0,0.0,0,0.0,0.0,6,0.0,0.0,0,0.0,0.0,6,0.0,0.0,8,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a15719,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,0.0,0.0,9,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a19247,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,130905959199740.66,130905959199740.66,39,0.0,0.0,0,0.0,0.0,0,159835675199269.0,159835675199269.0,41,22185186300000.0,22185186300000.0,9
a21659,0.0,0.0,0,103401174111.269,103401174111.269,25,0.0,0.0,0,103401174111.269,103401174111.269,25,1371289280000.0,1371289280000.0,8,14645234000000.0,14645234000000.0,6,14666761471.55712,14666761471.55712,26,0.0,0.0,0,14659900761471.557,14659900761471.557,32,5546167044667.614,5546167044667.614,14
a30302,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,0.0,0.0,9,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a04565,0.0,0.0,0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,24,3289067722936.0,3289067722936.0,8,0.0,0.0,0,0.0,0.0,36,0.0,0.0,0,0.0,0.0,36,2866600000000.0,2866600000000.0,5
a13047,0.0,0.0,24,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24,15739280400006.104,15739280400006.104,8,91914123599873.98,91914123599873.98,27,39449159999957.99,39449159999957.99,1,0.0,0.0,0,169542443599831.97,169542443599831.97,29,33965444800000.0,33965444800000.0,12
a17510,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,19672197492174.574,19672197492174.574,5,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,488450000000.0,488450000000.0,5
a00385,0.0,0.0,0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,24,0.0,0.0,8,0.0,0.0,0,0.0,0.0,36,0.0,0.0,0,0.0,0.0,36,7467450000000.0,7467450000000.0,5
a24416,0.0,0.0,24,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24,742039998688.76,742039998688.76,8,153740050399909.28,153740050399909.28,29,0.0,0.0,0,0.0,0.0,0,153740050399909.28,153740050399909.28,29,1374372800000.0,1374372800000.0,12
a18943,0.0,0.0,0,0.0,0.0,14,0.0,0.0,0,0.0,0.0,14,0.0,0.0,9,0.0,0.0,0,45609111357312.83,45609111357312.83,37,0.0,0.0,0,45609111357312.83,45609111357312.83,37,17458420000000.0,17458420000000.0,5
a13642,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,16736344706793.016,16736344706793.016,9
a03360,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,0.0,0.0,5,0.0,0.0,24,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24,7959180512000.0,7959180512000.0,8
a16179,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,1919886100000.0,1919886100000.0,5,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,3208000000000.0,3208000000000.0,5
a02143,0.0,0.0,0,0.0,0.0,36,0.0,0.0,0,0.0,0.0,36,980000000000.0,980000000000.0,5,0.0,0.0,0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,24,2417320000000.0,2417320000000.0,8
a04782,0.0,0.0,0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,24,0.0,0.0,8,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a22841,0.0,0.0,0,0.0,0.0,36,0.0,0.0,0,0.0,0.0,36,0.0,0.0,5,0.0,0.0,0,0.0,0.0,36,0.0,0.0,0,0.0,0.0,36,19939493950000.0,19939493950000.0,5
a29077,145200000000.0,145200000000.0,50,0.0,0.0,0,0.0,0.0,0,145200000000.0,145200000000.0,50,0.0,0.0,0,116640000000.0,116640000000.0,36,0.0,0.0,0,0.0,0.0,0,116640000000.0,116640000000.0,36,14100000000.0,14100000000.0,5
a20140,258021200000000.0,258021200000000.0,26,0.0,0.0,0,0.0,0.0,0,258021200000000.0,258021200000000.0,26,237979200000000.0,237979200000000.0,24,247745000000000.0,247745000000000.0,25,0.0,0.0,0,0.0,0.0,0,247745000000000.0,247745000000000.0,25,248308000000000.0,248308000000000.0,25
a23923,0.0,0.0,0,0.0,0.0,6,0.0,0.0,0,0.0,0.0,6,0.0,0.0,8,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a10415,0.0,0.0,24,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24,19985123599892.48,19985123599892.48,8,456441269533813.25,456441269533813.25,27,28396136392799.84,28396136392799.84,1,0.0,0.0,0,584824805926613.0,584824805926613.0,29,119123735040000.0,119123735040000.0,12
a07238,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,0.0,0.0,5,0.0,0.0,50,0.0,0.0,0,0.0,0.0,0,0.0,0.0,50,0.0,0.0,0
a30254,0.0,0.0,0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,24,79285873040000.0,79285873040000.0,8,0.0,0.0,0,0.0,0.0,36,0.0,0.0,0,0.0,0.0,36,199790000000000.0,199790000000000.0,5
a02402,0.0,0.0,0,10883759760000.0,10883759760000.0,24,0.0,0.0,0,10883759760000.0,10883759760000.0,24,990944960000.0,990944960000.0,8,123970763768822.52,123970763768822.52,8,10883759760000.0,10883759760000.0,24,0.0,0.0,0,136848805231676.8,136848805231676.8,34,4274808000000.0,4274808000000.0,16
a00995,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,0.0,0.0,5,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,4926040169183.192,4926040169183.192,5
a11904,0.0,0.0,36,0.0,0.0,0,0.0,0.0,0,0.0,0.0,36,1625000000000.0,1625000000000.0,5,4724590000000.0,4724590000000.0,41,0.0,0.0,0,0.0,0.0,0,4724590000000.0,4724590000000.0,41,3685393869758.493,3685393869758.493,9
