account,out_degree,in_degree,degree_ratio,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,avg_forward_path_length,max_forward_path_length,forward_path_count,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize,avg_backward_path_length,max_backward_path_length,backward_path_count
a24971,13,15,0.8125,6.08427646408e+16,6.08427646408e+16,9,666745590660000.0,666745590660000.0,9,3.0,3,9,0.0,0.0,0,207184529999693.6,207184529999693.6,3,2.0,2,3
a31336,42,38,1.0769230769230769,0.0,0.0,0,6517746640000000.0,6517746640000000.0,3,2.0,2,3,0.0,0.0,0,2254446465006000.0,2254446465006000.0,3,2.0,2,3
a16797,29,0,29.0,0.0,0.0,0,-14900000000.0,-14900000000.0,3,2.0,2,3,0.0,0.0,0,0.0,0.0,0,1.0,1,1
a22002,3,1,1.5,0.0,0.0,0,120340933567115.34,120340933567115.34,3,2.0,2,3,1.0169653677204e+18,1.0169653677204e+18,3,371375911499999.94,371375911499999.94,3,3.0,3,3
a03385,1,2,0.3333333333333333,0.0,0.0,0,1950340510218.35,1950340510218.35,1,2.0,2,1,0.0,0.0,0,2101810510218.35,2101810510218.35,2,2.0,2,2
a25046,6,6,0.8571428571428571,0.0,0.0,0,177248178080000.0,177248178080000.0,3,2.0,2,3,0.0,0.0,0,99995590000000.0,99995590000000.0,1,2.0,2,1
a05098,1112,114,9.669565217391304,-2589100000000.0,-2589100000000.0,6,2944608860899946.5,2944608860899946.5,7,2.857142857142857,3,7,0.0,0.0,0,817246338200000.0,817246338200000.0,2,2.0,2,2
a16851,3,6,0.4285714285714285,0.0,0.0,0,45114271662.95,45114271662.95,3,2.0,2,3,0.0,0.0,0,27921000000.0,27921000000.0,3,2.0,2,3
a23745,2,1,1.0,0.0,0.0,0,897693710000.0,897693710000.0,2,2.0,2,2,0.0,0.0,0,338830000000.0,338830000000.0,1,2.0,2,1
a11272,4,23,0.1666666666666666,0.0,0.0,0,4.5379073557287816e+16,4.5379073557287816e+16,3,2.0,2,3,0.0,0.0,0,4.102967359559809e+16,4.102967359559809e+16,3,2.0,2,3
a29202,1,7,0.125,0.0,0.0,0,45675453000000.0,45675453000000.0,1,2.0,2,1,0.0,0.0,0,26670978900000.0,26670978900000.0,2,2.0,2,2
a11948,28,3,7.0,0.0,0.0,0,8968850834393.766,8968850834393.766,2,2.0,2,2,3779789997242.4897,3779789997242.4897,9,17222192535775.816,17222192535775.816,9,3.0,3,9
a14974,3,65,0.0454545454545454,0.0,0.0,0,2484960000000.0,2484960000000.0,1,2.0,2,1,0.0,0.0,0,1047174000000.0,1047174000000.0,2,2.0,2,2
a27308,5,6,0.7142857142857143,0.0,0.0,0,812052000000.0,812052000000.0,3,2.0,2,3,0.0,0.0,0,541719699971.02,541719699971.02,3,2.0,2,3
a19723,2,2,0.6666666666666666,0.0,0.0,0,39895963000000.0,39895963000000.0,1,2.0,2,1,0.0,0.0,0,39906055000000.0,39906055000000.0,1,2.0,2,1
a03731,11,1,5.5,0.0,0.0,0,-22500000000.0,-22500000000.0,3,2.0,2,3,0.0,0.0,0,57900000000.0,57900000000.0,1,2.0,2,1
a29548,16,16,0.9411764705882352,0.0,0.0,0,36346955400000.0,36346955400000.0,3,2.0,2,3,0.0,0.0,0,14780671700000.0,14780671700000.0,1,2.0,2,1
a08295,3,7,0.375,1.23742553721e+17,1.23742553721e+17,9,115213005897665.84,115213005897665.84,9,3.0,3,9,0.0,0.0,0,36158757900000.0,36158757900000.0,3,2.0,2,3
a29817,7,2,2.3333333333333335,0.0,0.0,0,758304260000.0,758304260000.0,3,2.0,2,3,0.0,0.0,0,11529770269350.48,11529770269350.48,2,2.0,2,2
a25618,17,12,1.3076923076923077,0.0,0.0,0,77843937715204.39,77843937715204.39,3,2.0,2,3,0.0,0.0,0,23394821900000.0,23394821900000.0,2,2.0,2,2
a20079,2,1,1.0,-6000000741.0,-6000000741.0,1,78016800000.0,78016800000.0,2,2.5,3,2,3704063239111800.0,3704063239111800.0,3,263661600000.0,263661600000.0,3,3.0,3,3
a22457,0,6,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,1781791808495.134,1781791808495.134,3,2.0,2,3
a10067,16,9,1.6,0.0,0.0,0,50391936000000.0,50391936000000.0,2,2.0,2,2,0.0,0.0,0,14016971000000.0,14016971000000.0,1,2.0,2,1
a15902,6,5,1.0,0.0,0.0,0,16362750588916.14,16362750588916.14,3,2.0,2,3,0.0,0.0,0,5173888000000.0,5173888000000.0,1,2.0,2,1
a16046,22,4,4.4,0.0,0.0,0,95245158650000.0,95245158650000.0,3,2.0,2,3,0.0,0.0,0,65746313803815.65,65746313803815.65,3,2.0,2,3
a08144,6,1,3.0,0.0,0.0,0,-190254754000.0,-190254754000.0,3,2.0,2,3,0.0,0.0,0,461192500000.0,461192500000.0,1,2.0,2,1
a07266,79,276,0.2851985559566787,0.0,0.0,0,103095198900000.0,103095198900000.0,3,2.0,2,3,0.0,0.0,0,77186368999354.88,77186368999354.88,3,2.0,2,3
