account,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a08019,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,7468572665850.58,7468572665850.58,5
a26050,0.0,0.0,0,187316200000.0,187316200000.0,1,0.0,0.0,0,19396500000.0,19396500000.0,5
a09485,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1218039271102000.0,1218039271102000.0,5
a15470,149205441560000.0,149205441560000.0,10,345289924000000.0,345289924000000.0,10,0.0,0.0,0,54957142200000.0,54957142200000.0,5
a02774,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5
a08445,64880000000.0,64880000000.0,2,57820000000.0,57820000000.0,5,540470000000.0,540470000000.0,4,1560866540000.0,1560866540000.0,6
a07637,149205441560000.0,149205441560000.0,10,485094412737461.06,485094412737461.06,13,0.0,0.0,0,85859222605778.05,85859222605778.05,5
a31461,0.0,0.0,0,35429450357064.266,35429450357064.266,5,0.0,0.0,0,35477851112330.38,35477851112330.38,5
a08667,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0
a15248,0.0,0.0,0,891180000000.0,891180000000.0,1,0.0,0.0,0,891390000000.0,891390000000.0,1
a14666,6.102589886885998e+17,6.102589886885998e+17,5,129197802000000.0,129197802000000.0,9,0.0,0.0,0,89317702043500.0,89317702043500.0,5
a30788,27661128300000.0,27661128300000.0,25,271728718000000.0,271728718000000.0,25,584824805926613.0,584824805926613.0,5,58119183600000.0,58119183600000.0,9
a11348,0.0,0.0,0,14964720000000.0,14964720000000.0,2,0.0,0.0,0,14995800000000.0,14995800000000.0,1
a29006,796940673721.018,796940673721.018,15,14521735993872.2,14521735993872.2,15,0.0,0.0,0,1678974500000.0,1678974500000.0,5
a29585,560308930500000.0,560308930500000.0,25,546623011500004.2,546623011500004.2,25,0.0,0.0,0,109319444300000.0,109319444300000.0,5
a02759,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,10039160000000.0,10039160000000.0,2
a05406,35260121100000.0,35260121100000.0,5,14259259680000.0,14259259680000.0,9,0.0,0.0,0,7407180000000.0,7407180000000.0,3
a20185,0.0,0.0,0,1.3699961e+16,1.3699961e+16,3,0.0,0.0,0,1.3699991599999998e+16,1.3699991599999998e+16,2
a18469,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,5780000000.0,5780000000.0,1
a03915,1169984985000000.0,1169984985000000.0,6,188614287400000.0,188614287400000.0,7,0.0,0.0,0,11529018877595.258,11529018877595.258,5
a16185,0.0,0.0,0,2599320171976.726,2599320171976.726,5,961014946260000.0,961014946260000.0,15,16460982000000.0,16460982000000.0,17
a30508,0.0,0.0,0,0.0,0.0,5,6511380000000.0,6511380000000.0,16,14877210000000.0,14877210000000.0,9
a26500,0.0,0.0,0,0.0,0.0,5,270066279794252.25,270066279794252.25,21,13527350000000.0,13527350000000.0,21
a00498,347710000000.0,347710000000.0,5,354273550000.0,354273550000.0,6,233391120000.0,233391120000.0,5,637560000000.0,637560000000.0,5
a28315,0.0,0.0,0,199566164000000.0,199566164000000.0,5,0.0,0.0,0,509959680000000.0,509959680000000.0,3
a15850,2358525208100000.0,2358525208100000.0,20,469720916000000.0,469720916000000.0,21,0.0,0.0,0,47565111200000.0,47565111200000.0,5
a11260,0.0,0.0,0,51358097897.6,51358097897.6,5,1597803378200000.0,1597803378200000.0,5,11003600000000.0,11003600000000.0,5
a24311,0.0,0.0,0,2994589632000.0,2994589632000.0,5,1655720000000.0,1655720000000.0,24,128124210600000.0,128124210600000.0,17
a02221,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,991600000000.0,991600000000.0,1
a31369,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,80037380000.0,80037380000.0,1
a24149,0.0,0.0,0,10445600000.0,10445600000.0,4,0.0,0.0,0,25228000000.0,25228000000.0,1
a02259,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,434000000000.0,434000000000.0,5
a03578,74602720780000.0,74602720780000.0,5,70973935872000.0,70973935872000.0,5,274421791320000.0,274421791320000.0,10,71042700000000.0,71042700000000.0,10
a16024,298410883120000.0,298410883120000.0,20,408061462000000.0,408061462000000.0,21,9613901182382.438,9613901182382.438,25,125525575000000.0,125525575000000.0,25
a09135,0.0,0.0,0,9987400000000.0,9987400000000.0,5,244786616035241.9,244786616035241.9,3,39949758778252.7,39949758778252.7,5
a15993,35260121100000.0,35260121100000.0,5,1827350000000.0,1827350000000.0,9,0.0,0.0,0,1595070000000.0,1595070000000.0,3
a20456,0.0,0.0,0,0.0,0.0,5,22487287699892.48,22487287699892.48,3,13538626549540.52,13538626549540.52,6
a07771,5357455699790.3,5357455699790.3,5,22011000000.0,22011000000.0,9,0.0,0.0,0,25000000000.0,25000000000.0,5
a15525,5894207150000.0,5894207150000.0,5,5938260000000.0,5938260000000.0,5,2186770000000.0,2186770000000.0,3,34528346795112.887,34528346795112.887,7
a25930,162538929996905.44,162538929996905.44,10,52443661197217.5,52443661197217.5,13,353845052549396.5,353845052549396.5,14,2060463439996936.0,2060463439996936.0,15
a05905,0.0,0.0,0,52474990000000.0,52474990000000.0,1,62982522735838.4,62982522735838.4,5,63775168400000.0,63775168400000.0,9
a15664,0.0,0.0,0,1.0009949112753994e+16,1.0009949112753994e+16,3,0.0,0.0,0,3109686173383426.0,3109686173383426.0,5
a08214,0.0,0.0,0,168780000000.0,168780000000.0,1,0.0,0.0,0,186000000000.0,186000000000.0,1
a22452,89211939999740.66,89211939999740.66,5,96143346827000.0,96143346827000.0,9,189696828000000.0,189696828000000.0,21,388594875098703.25,388594875098703.25,21
a00022,0.0,0.0,0,317000567539.8884,317000567539.8884,5,50300000000.0,50300000000.0,5,1803998000000.0,1803998000000.0,5
a16164,0.0,0.0,0,59233014875000.0,59233014875000.0,1,7338726359231725.0,7338726359231725.0,5,75161172990000.0,75161172990000.0,9
a26209,6229181010542.246,6229181010542.246,4,101554148252115.23,101554148252115.23,7,25544593381700.195,25544593381700.195,25,110335724500000.0,110335724500000.0,25
a03058,0.0,0.0,0,1533444281090000.0,1533444281090000.0,4,0.0,0.0,0,125507787330240.0,125507787330240.0,5
a03827,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,449999999100.0,449999999100.0,4
a00699,149205441560000.0,149205441560000.0,10,222567800000000.0,222567800000000.0,13,371772583544184.9,371772583544184.9,20,153230127499991.0,153230127499991.0,21
a03570,0.0,0.0,0,175610000000.0,175610000000.0,3,0.0,0.0,0,917750000000.0,917750000000.0,1
a10685,0.0,0.0,0,17796714700000.0,17796714700000.0,5,0.0,0.0,0,18137530000000.0,18137530000000.0,3
a22875,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,2
a24421,1046071752727825.0,1046071752727825.0,25,148536839529950.4,148536839529950.4,25,0.0,0.0,0,29980070173065.68,29980070173065.68,5
a18126,899370000000.0,899370000000.0,1,1306480240000.0,1306480240000.0,5,826480240000.0,826480240000.0,1,899370000000.0,899370000000.0,1
a01008,334759769600000.0,334759769600000.0,10,1769374185900000.0,1769374185900000.0,13,0.0,0.0,0,370159357499387.25,370159357499387.25,5
a26283,0.0,0.0,0,5273750000000.0,5273750000000.0,5,434392074327881.44,434392074327881.44,10,9371900000000.0,9371900000000.0,10
a29879,178423879999481.3,178423879999481.3,10,91924953773000.0,91924953773000.0,13,55765453320000.0,55765453320000.0,30,94377908000000.0,94377908000000.0,12
a22372,0.0,0.0,0,2178041831170.9,2178041831170.9,5,54998731600000.0,54998731600000.0,1,2205941800000.0,2205941800000.0,5
a19733,0.0,0.0,0,19684874639610.87,19684874639610.87,5,0.0,0.0,0,3244242835776.244,3244242835776.244,5
a17588,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,173010000000.0,173010000000.0,5
a09324,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,73200000000.0,73200000000.0,1
a06632,0.0,0.0,0,0.0,0.0,5,0.0,0.0,14,17356805475000.0,17356805475000.0,9
a21780,2453970899652.0,2453970899652.0,1,0.0,0.0,0,0.0,0.0,0,912410000000.0,912410000000.0,5
a20994,6.102589886885998e+17,6.102589886885998e+17,5,249821069500000.0,249821069500000.0,6,0.0,0.0,0,49982000000000.0,49982000000000.0,1
a09371,35260121100000.0,35260121100000.0,5,948466400000.0,948466400000.0,6,0.0,0.0,0,256480000000.0,256480000000.0,1
a10031,0.0,0.0,0,509959050000000.0,509959050000000.0,3,0.0,0.0,0,509986770000000.0,509986770000000.0,3
a21365,385618815143005.0,385618815143005.0,5,1299957998000000.2,1299957998000000.2,5,0.0,0.0,0,259991390000000.0,259991390000000.0,1
a26812,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,6043825361245.27,6043825361245.27,5
a12265,0.0,0.0,0,6360875900000.0,6360875900000.0,1,0.0,0.0,0,6376205900000.0,6376205900000.0,1
a02900,0.0,0.0,0,893006487000.0,893006487000.0,5,21843499046209.484,21843499046209.484,25,7496461491943.05,7496461491943.05,25
a03911,0.0,0.0,0,118321226604222.6,118321226604222.6,5,603738959997524.8,603738959997524.8,9,609592878998928.4,609592878998928.4,11
