account,forward_strength,backward_strength,a_dominance,network_activity,activity_intensity,current_type,improved_type
a24971,1.141662685649467,1.4965034499683487,0.5016052173312127,0.46212023002869695,0.0005883737349964,type4,type4
a31336,1.5556975006090235,1.541684507110894,0.452394907311255,0.6348495306452372,0.0021996125785252,type4,type1
a16797,1.454387061385562,1.4771129155052056,0.4779941522551864,0.3006412071935677,0.0004765827253471,type4,type4
a22002,1.4739188928834097,1.7800134124820235,0.5150593448406823,0.1797500484060367,0.0010590727229936,type4,type4
a03385,1.4548755508900915,1.477412270427536,0.4778657252207773,0.151947541246314,0.0,type4,type4
a25046,1.4795166476061712,1.48837394968051,0.4721332543628964,0.33261782388671135,0.0014827018121911,type4,type3
a05098,1.3771516927352763,1.5198761207384726,0.45713257456151396,1.036090931777538,0.002010485571073,type4,type1
a16851,1.4544021276593733,1.4771169165183842,0.4779910432691818,0.2831518425953624,0.0021181454459872,type4,type4
a23745,1.4546151431009111,1.4771614245196285,0.4779490571572656,0.1543210374300304,0.0005295363614968,type4,type4
a11272,1.6017490932457765,1.6104219657260828,0.4362282769394309,0.4045760148604006,0.0275358907978347,type4,type3
a29202,1.4637571050784561,1.480662349956205,0.4758968169069872,0.2329042003313113,0.0006354436337961,type4,type4
a11948,1.4565428149561666,0.9912964004970127,0.4785891196455239,0.4120678965415278,0.0025888444339844,type4,type4
a14974,1.455006727835929,1.4772625232229115,0.47786875157662084,0.468348262389335,1.5807055567069453e-05,type4,type4
a27308,1.4545938313037388,1.4771904251161632,0.4779478037040492,0.31899202059671594,0.002824193927983,type4,type4
a19723,1.4627560264609354,1.4822479656172451,0.4758023588624062,0.1877877192476675,0.0003530242409978,type4,type4
a03731,1.4543851527665475,1.477121211703682,0.47799311073412176,0.2768594153847499,0.0005295363614968,type4,type4
a29548,1.462119831599844,1.4791437129366756,0.4764074436283834,0.48428611031412194,0.0009344759320532,type4,type4
a08295,1.1325227744808413,1.4818094404382884,0.5114392529237471,0.2941733893086711,0.0007060484819957,type4,type4
a29817,1.4545804465491972,1.4787114074236347,0.47770215718295156,0.2744859192010336,0.0005295363614968,type4,type4
a25618,1.4686717395176623,1.4802533149901709,0.47516970434633987,0.4671962606140395,0.0003369776845888,type4,type3
a20079,1.4543963703202851,1.617832124596637,0.5018856145657037,0.1543210374300304,0.0005295363614968,type4,type4
a22457,1.454390802840795,1.4773669287610018,0.47795212789442154,0.1606134646406429,0.0002118145445987,type4,type4
a10067,1.464544065270068,1.4790428459093206,0.47603141628611717,0.4404885886861706,0.0004118616144975,type4,type4
a15902,1.458181805606402,1.4778432784098974,0.4772574505300862,0.31989438196634,0.0012708872675923,type4,type4
a16046,1.4709612469378937,1.485073622135748,0.47402683268385115,0.4099963573128028,0.0012355848434925,type4,type3
a08144,1.4543429849451144,1.4771789188881188,0.4779905769961165,0.2292160296973856,0.0004236290891974,type4,type4
a07266,1.471926365867359,1.4862266660378478,0.47368740939934695,0.8515401500778966,0.0007227794886781,type4,type3
a19589,1.1432254908885258,1.166966877950992,0.5460465734467757,0.40815709630357255,0.0001008640688565,type4,type4
a16367,1.4543873074858602,1.47710950220731,0.47799466868144547,0.1877877192476675,0.0010590727229936,type4,type4
a06490,1.4548603388777446,1.4773489463070633,0.4778785243501762,0.3842717893850941,0.0002269441549272,type4,type4
a24425,1.4543233521459782,1.4771982693420838,0.4779906230330723,0.2292160296973856,0.0014120969639915,type4,type4
a07180,1.462770710654792,1.4829069090886522,0.475693550746413,0.4892479626504836,0.000756480516424,type4,type4
a22637,1.4543830963501874,1.482012304456228,0.4771972622982524,0.29015267395776634,0.0003025922065696,type4,type4
a28413,1.4543727178963892,1.4772547262896674,0.47797336904759546,0.1543210374300304,0.0021181454459872,type4,type4
a00340,1.4542523054705083,1.4771850075929547,0.4780043700902656,0.1543210374300304,0.0021181454459872,type4,type4
a12455,1.454377401104929,1.6169692155107542,0.5017006489070142,0.2626827115150227,0.0003530242409978,type4,type4
a14038,1.4634268180036893,1.5197776353041252,0.4811373574691579,0.45629232883969156,0.0011553520614476,type4,type4
a27751,1.56582486071831,1.576501882915192,0.44592429769723263,0.2132167302236738,0.0042362908919745,type4,type3
a01475,1.4543730789050264,1.4771584308592214,0.4779890107347637,0.3739687823634632,0.000756480516424,type4,type4
a22265,1.454390802840795,1.4771126102541614,0.47799359196741703,0.0572116704513172,0.0,type4,type4
a12515,1.5369102093821905,1.5481969662888033,0.4541948679579467,0.4653687667548898,0.0002762798407809,type4,type3
a24121,1.4582102464515243,1.48020320482654,0.4768695316448852,0.7045900330666288,0.0081699895773795,type4,type1
a19683,1.4543357547625524,1.4772402639058446,0.477981753625643,0.3548562260902106,0.0002206401506236,type4,type4
a05100,1.5991275852795794,1.4776869888481146,0.5019456863956946,0.2449993896989848,0.0001765121204989,type4,type2
a05277,1.1435891397114275,1.4844715300920734,0.5083606269375399,0.7603431770532381,0.0018750795751362,type4,type4
a19080,1.528130142051653,1.5229388708961982,0.4592619309309446,0.7600940317625456,0.0026353670083795,type4,type1
a25192,1.4543721487995591,1.0932446898703205,0.505449325033016,0.3062685786763446,0.0004538883098544,type4,type2
a12151,1.455144590236875,1.477579426813056,0.47779465034678864,0.4363809749483824,0.0022144247844412,type4,type4
a00201,1.4543855906950838,1.4780904802362875,0.47814415534165144,0.3752036547439438,0.0001925586769079,type4,type4
a03978,1.454390802840795,1.4775401689282488,0.47792388694762916,0.4048764417832137,0.0009682950610227,type4,type4
a16415,1.4615734109042577,1.4815930023115103,0.4760994281526119,0.2607435106661717,0.0015886090844904,type4,type4
a19785,1.454390802840795,1.4779693841129258,0.47785393231166384,0.2779332077520006,0.0010590727229936,type4,type4
a00114,1.454390802840795,1.4771486893950452,0.47798770918869554,0.0572116704513172,0.0,type4,type4
a02515,1.4563022622278636,1.4782247965081436,0.47750108219944615,0.3444210315727222,0.0004706989879971,type4,type4
a08068,1.454681120131124,1.4773839469983474,0.47790202952823024,0.232941003506449,0.0021181454459872,type4,type4
a24723,1.1226093650405955,1.4773302525366179,0.5145696635000193,0.5037745396663894,0.0002576122839714,type4,type4
a16756,1.528734374260751,1.5250152333974252,0.45885878880703895,0.834671936845955,0.0010201362258247,type4,type4
a12218,1.4543887318921946,1.4771139899468664,0.4779937046795378,0.1797500484060367,0.0010590727229936,type4,type4
a20069,1.5218533857231953,1.4979902305281898,0.4766061864687421,0.1877877192476675,0.0010590727229936,type4,type4
a06210,1.457652086203502,1.4825514809423368,0.4765791940216694,0.3270601189337769,0.0005295363614968,type4,type4
a11842,1.454388919631219,1.4771129155052056,0.4779938492601323,0.3006412071935677,7.844983133286276e-05,type4,type4
a30590,1.454426144645569,1.477134442469923,0.4779842696919154,0.1184808594286769,0.0010590727229936,type4,type4
a15944,1.4543880382381276,1.477114907424761,0.477993668184135,0.2607435106661717,0.0002647681807484,type4,type4
a28701,1.4543878248306428,1.4771140820389967,0.4779938375637266,0.1184808594286769,0.0010590727229936,type4,type4
a15625,1.464064135663774,1.47999606709796,0.4759548887538171,0.43086086522079303,3.0259220656961164e-05,type4,type4
