ID,Predict,score_range,bad_probability,label
a00002,0,unknown,0.5,unknown
a00004,0,unknown,0.5,unknown
a00005,0,unknown,0.5,unknown
a00013,0,unknown,0.5,unknown
a00017,0,unknown,0.5,unknown
a00018,0,unknown,0.5,unknown
a00023,0,unknown,0.5,unknown
a00031,0,unknown,0.5,unknown
a00033,0,unknown,0.5,unknown
a00034,0,unknown,0.5,unknown
a00040,0,unknown,0.5,unknown
a00041,0,unknown,0.5,unknown
a00051,0,unknown,0.5,unknown
a00056,0,unknown,0.5,unknown
a00058,0,unknown,0.5,unknown
a00059,0,unknown,0.5,unknown
a00063,0,unknown,0.5,unknown
a00064,0,unknown,0.5,unknown
a00069,0,unknown,0.5,unknown
a00080,0,unknown,0.5,unknown
a00085,0,unknown,0.5,unknown
a00086,0,unknown,0.5,unknown
a00096,0,unknown,0.5,unknown
a00118,0,unknown,0.5,unknown
a00130,0,unknown,0.5,unknown
a00135,0,unknown,0.5,unknown
a00145,0,unknown,0.5,unknown
a00147,0,unknown,0.5,unknown
a00148,0,unknown,0.5,unknown
a00153,0,unknown,0.5,unknown
a00159,0,unknown,0.5,unknown
a00166,0,unknown,0.5,unknown
a00194,0,unknown,0.5,unknown
a00199,0,unknown,0.5,unknown
a00203,0,unknown,0.5,unknown
a00209,0,unknown,0.5,unknown
a00215,0,unknown,0.5,unknown
a00218,0,unknown,0.5,unknown
a00221,0,unknown,0.5,unknown
a00231,0,unknown,0.5,unknown
a00243,0,unknown,0.5,unknown
a00248,0,unknown,0.5,unknown
a00250,0,unknown,0.5,unknown
a00255,0,unknown,0.5,unknown
a00260,0,unknown,0.5,unknown
a00261,0,unknown,0.5,unknown
a00265,0,unknown,0.5,unknown
a00269,0,unknown,0.5,unknown
a00273,0,unknown,0.5,unknown
a00282,0,unknown,0.5,unknown
a00283,0,unknown,0.5,unknown
a00285,0,unknown,0.5,unknown
a00288,0,unknown,0.5,unknown
a00289,0,unknown,0.5,unknown
a00299,0,unknown,0.5,unknown
a00303,0,unknown,0.5,unknown
a00313,0,unknown,0.5,unknown
a00317,0,unknown,0.5,unknown
a00321,0,unknown,0.5,unknown
a00326,0,unknown,0.5,unknown
a00329,0,unknown,0.5,unknown
a00334,0,unknown,0.5,unknown
a00335,0,unknown,0.5,unknown
a00341,0,unknown,0.5,unknown
a00342,0,unknown,0.5,unknown
a00346,0,unknown,0.5,unknown
a00351,0,unknown,0.5,unknown
a00355,0,unknown,0.5,unknown
a00361,0,unknown,0.5,unknown
a00362,0,unknown,0.5,unknown
a00364,0,unknown,0.5,unknown
a00382,0,unknown,0.5,unknown
a00383,0,unknown,0.5,unknown
a00386,0,unknown,0.5,unknown
a00395,0,unknown,0.5,unknown
a00398,0,unknown,0.5,unknown
a00405,0,unknown,0.5,unknown
a00409,0,unknown,0.5,unknown
a00417,0,unknown,0.5,unknown
a00423,0,unknown,0.5,unknown
a00427,0,unknown,0.5,unknown
a00437,0,unknown,0.5,unknown
a00448,0,unknown,0.5,unknown
a00450,0,unknown,0.5,unknown
a00459,0,unknown,0.5,unknown
a00460,0,unknown,0.5,unknown
a00461,0,unknown,0.5,unknown
a00464,0,unknown,0.5,unknown
a00473,0,unknown,0.5,unknown
a00480,0,unknown,0.5,unknown
