ID,predict
a19350,0.818168
a07341,0.818168
a31092,0.818168
a27406,0.818168
a28151,0.818168
a03525,0.818168
a02553,0.818168
a22468,0.818168
a05840,0.818168
a14278,0.818168
a26090,0.818168
a28394,0.818168
a06566,0.818168
a06953,0.818168
a18627,0.818168
a15735,0.818168
a30958,0.818168
a27001,0.818168
a26266,0.818168
a26257,0.818168
a26275,0.818168
a29961,0.818168
a31419,0.818168
a19506,0.818168
a09131,0.818168
a26439,0.818168
a07109,0.818168
a24282,0.818168
a22490,0.818168
a12355,0.818168
a16048,0.818168
a13942,0.818168
a25556,0.818168
a12049,0.818168
a13437,0.818168
a21597,0.818168
a18143,0.818168
a08751,0.818168
a06928,0.818168
a09162,0.818168
a28962,0.818168
a14092,0.818168
a15949,0.818168
a20329,0.818168
a09316,0.818168
a17433,0.818168
a04076,0.818168
a13468,0.818168
a28267,0.818168
a14642,0.818168
a11426,0.818168
a27783,0.818168
a01829,0.818168
a25473,0.818168
a16900,0.818168
a04334,0.818168
a14959,0.818168
a16428,0.818168
a29822,0.818168
a09635,0.818168
a24894,0.818168
a27512,0.818168
a25166,0.818168
a19445,0.818168
a04185,0.818168
a28119,0.818168
a29906,0.818168
a04997,0.818168
a16700,0.818168
a03820,0.818168
a27078,0.818168
a18936,0.818168
a10566,0.818168
a28100,0.818168
a25025,0.818168
a28982,0.818168
a17804,0.818168
a05344,0.818168
a18313,0.818168
a11175,0.818168
a02568,0.818168
a30332,0.818168
a19166,0.818168
a24562,0.818168
a10091,0.818168
a29325,0.818168
a19564,0.818168
a23376,0.818168
a22931,0.818168
a02215,0.818168
a00268,0.818168
a14875,0.818168
a13742,0.818168
a14157,0.818168
a08612,0.818168
a12219,0.818168
a07052,0.818168
a12047,0.818168
a19653,0.818168
a10666,0.818168
a08898,0.818168
a02732,0.818168
a24981,0.818168
a05971,0.818168
a29916,0.818168
a10696,0.818168
a04743,0.818168
a09568,0.818168
a10483,0.818168
a26919,0.818168
a18665,0.818168
a21823,0.818168
a18491,0.818168
a22145,0.818168
a21878,0.818168
a13252,0.818168
a01771,0.818168
a00676,0.818168
a00834,0.818168
a03641,0.818168
a01807,0.818168
a12078,0.818168
a27582,0.818168
a00927,0.818168
a02368,0.818168
a17905,0.818168
a17937,0.818168
a00604,0.818168
a04922,0.818168
a10905,0.818168
a26952,0.818168
a16368,0.818168
a01369,0.818168
a13876,0.818168
a06965,0.818168
a12458,0.818168
a21086,0.818168
a29932,0.818168
a18646,0.818168
a27922,0.818168
a30307,0.818168
a20466,0.818168
a26095,0.818168
a30438,0.818168
a20299,0.818168
a03437,0.818168
a09979,0.818168
a26412,0.818168
a28682,0.818168
a16073,0.818168
a09407,0.818168
a28516,0.818168
a01791,0.818168
a03720,0.818168
a17325,0.818168
a21546,0.818168
a26723,0.818168
a04827,0.818168
a28561,0.818168
a27569,0.818168
a15914,0.818168
a06497,0.818168
a06029,0.818168
a16188,0.818168
a21300,0.818168
a28721,0.818168
a29200,0.818168
a13818,0.818168
a28853,0.818168
a31071,0.818168
a24741,0.818168
a23233,0.818168
a03728,0.818168
a13250,0.818168
a30726,0.818168
a07959,0.818168
a29382,0.818168
a15366,0.818168
a04914,0.818168
a19383,0.818168
a00046,0.818168
a07715,0.818168
a09080,0.818168
a29774,0.818168
a01078,0.818168
a02249,0.818168
a18380,0.818168
a23542,0.818168
a06470,0.818168
a12683,0.818168
a07360,0.818168
a24318,0.818168
a04806,0.818168
a03817,0.818168
a12130,0.818168
a10172,0.818168
a07437,0.818168
a23885,0.818168
a10009,0.818168
a07889,0.818168
a27551,0.818168
a14077,0.818168
a14843,0.818168
a00233,0.818168
a19519,0.818168
a04543,0.818168
a15871,0.818168
a30308,0.818168
a12651,0.818168
a29267,0.818168
a27163,0.818168
a10506,0.818168
a01244,0.818168
a28283,0.818168
a02876,0.818168
a22525,0.818168
a26444,0.818168
a12156,0.818168
a07786,0.818168
a21278,0.818168
a09495,0.818168
a13891,0.818168
a21321,0.818168
a10023,0.818168
a28989,0.818168
a08648,0.818168
a14401,0.818168
a11156,0.818168
a23973,0.818168
a02053,0.818168
a31440,0.818168
a28375,0.818168
a28685,0.818168
a04427,0.818168
a10240,0.818168
a20403,0.818168
a07689,0.818168
a01100,0.818168
a13920,0.818168
a24506,0.818168
a12089,0.818168
a24193,0.818168
a09178,0.818168
a24374,0.818168
a12869,0.818168
a13989,0.818168
a02992,0.818168
a13782,0.818168
a19386,0.818168
a14803,0.818168
a13609,0.818168
