Category,Count,Percentage (%)
Central_Felony,43106,4.29
Pacific_Felony,39511,3.93
77th Street_Felony,35578,3.54
Southwest_Felony,33304,3.31
Hollywood_Felony,31482,3.13
Wilshire_Felony,30707,3.06
N Hollywood_Felony,30591,3.04
Newton_Felony,30298,3.01
Olympic_Felony,29967,2.98
West LA_Felony,28756,2.86
Southeast_Felony,28142,2.8
Rampart_Felony,27762,2.76
Northeast_Felony,26829,2.67
Central_Misdemeanor,26564,2.64
77th Street_Misdemeanor,26180,2.6
Van Nuys_Felony,25425,2.53
Devonshire_Felony,25035,2.49
Topanga_Felony,24780,2.47
West Valley_Felony,24349,2.42
Southwest_Misdemeanor,24137,2.4
