Category,Count,Percentage (%)
VEHICLE - STOLEN,115190,11.46
BATTERY - SIMPLE ASSAULT,74839,7.45
BURGLARY FROM VEHICLE,63517,6.32
THEFT OF IDENTITY,62537,6.22
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",61092,6.08
BURGLARY,57871,5.76
THEFT PLAIN - PETTY ($950 & UNDER),53717,5.35
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53525,5.33
INTIMATE PARTNER - SIMPLE ASSAULT,46712,4.65
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),41314,4.11
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36941,3.68
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35149,3.5
ROBBERY,32316,3.22
SHOPLIFTING - PETTY THEFT ($950 & UNDER),30908,3.08
VANDALISM - MISDEAMEANOR ($399 OR UNDER),25381,2.53
CRIMINAL THREATS - NO WEAPON DISPLAYED,19286,1.92
TRESPASSING,18428,1.83
BRANDISH WEAPON,14532,1.45
INTIMATE PARTNER - AGGRAVATED ASSAULT,12656,1.26
VIOLATION OF RESTRAINING ORDER,11748,1.17
