Category,Count,Percentage (%)
STREET,261284,26.01
SINGLE FAMILY DWELLING,163654,16.29
"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",119011,11.85
PARKING LOT,69147,6.88
OTHER BUSINESS,47647,4.74
SIDEWALK,40861,4.07
"VEHICLE, PASSENGER/TRUCK",29302,2.92
GARAGE/CARPORT,19362,1.93
DRIVEWAY,16082,1.6
DEPARTMENT STORE,14433,1.44
RESTAURANT/FAST FOOD,12312,1.23
PARKING UNDERGROUND/BUILDING,8228,0.82
OTHER PREMISE,8038,0.8
MARKET,7884,0.78
OTHER RESIDENCE,7558,0.75
ALLEY,7066,0.7
PARK/PLAYGROUND,6666,0.66
CLOTHING STORE,6207,0.62
YARD (RESIDENTIAL/BUSINESS),6204,0.62
GAS STATION,5741,0.57
