Premis Desc,Felony,Misdemeanor
DEPARTMENT STORE,1.7461958060049976,0.10233317067610335
DRIVEWAY,1.6410449510299276,0.41868227151462056
GARAGE/CARPORT,2.21213832780683,0.26768000840182227
"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",5.568000327875991,9.67451904050165
OTHER BUSINESS,3.586784036025375,2.515679772740954
PARKING LOT,6.97991631477632,1.8761935134345906
SIDEWALK,3.1068811692877536,2.1264551098064377
SINGLE FAMILY DWELLING,7.075205274705007,13.885035919070985
STREET,27.108812563798136,6.355543089437142
"VEHICLE, PASSENGER/TRUCK",0.4715778903997654,3.281321442705592
