Category,Count,Percentage (%)
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",174761,53.4
UNKNOWN WEAPON/OTHER WEAPON,36390,11.12
VERBAL THREAT,23846,7.29
HAND GUN,20182,6.17
SEMI-AUTOMATIC PISTOL,7267,2.22
KNIFE WITH BLADE 6INCHES OR LESS,6838,2.09
UNKNOWN FIREARM,6582,2.01
OTHER KNIFE,5879,1.8
MACE/PEPPER SPRAY,3730,1.14
VEHICLE,3260,1.0
ROCK/THROWN OBJECT,2739,0.84
PIPE/METAL PIPE,2469,0.75
BOTTLE,2415,0.74
FOLDING KNIFE,2266,0.69
STICK,2249,0.69
CLUB/BAT,2088,0.64
KITCHEN KNIFE,1921,0.59
AIR PISTOL/REVOLVER/RIFLE/BB GUN,1864,0.57
KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,1697,0.52
BLUNT INSTRUMENT,1387,0.42
