YearMonth,count
2020-01,18576
2020-02,17284
2020-03,16188
2020-04,15706
2020-05,17230
2020-06,17060
2020-07,17158
2020-08,16902
2020-09,15658
2020-10,16510
2020-11,15596
2020-12,15979
2021-01,16636
2021-02,15440
2021-03,16354
2021-04,16091
2021-05,17020
2021-06,17182
2021-07,18690
2021-08,18398
2021-09,18386
2021-10,19343
2021-11,18374
2021-12,17962
2022-01,18567
2022-02,17750
2022-03,19745
2022-04,19837
2022-05,20467
2022-06,20273
2022-07,20009
2022-08,20144
2022-09,19341
2022-10,20335
2022-11,18755
2022-12,20036
2023-01,19970
2023-02,18489
2023-03,19214
2023-04,18937
2023-05,18908
2023-06,18741
2023-07,19935
2023-08,20082
2023-09,19321
2023-10,20122
2023-11,19074
2023-12,19552
2024-01,18926
2024-02,17394
2024-03,16293
2024-04,12946
2024-05,9386
2024-06,8126
2024-07,8170
2024-08,8324
2024-09,8309
2024-10,7817
2024-11,7179
2024-12,4697
2025-01,26
2025-02,44
2025-03,24
2025-04,1
2025-05,2
