字段,缺失数量,缺失比例(%),修复策略,原因,优先级
Mocodes,151619,15.09,"特殊值填充（""未知""）",缺失中等（5-20%）,高
Vict Descent,144656,14.39,"特殊值填充（""未知""）",缺失中等（5-20%）,高
Vict Sex,144644,14.39,"特殊值填充（""未知""）",缺失中等（5-20%）,高
Crm Cd 4,1004927,99.99,删除字段,信息量太低（缺失>50%）,低
Crm Cd 3,1002677,99.77,删除字段,信息量太低（缺失>50%）,低
Crm Cd 2,935831,93.12,删除字段,信息量太低（缺失>50%）,低
Cross Street,850755,84.65,删除字段,信息量太低（缺失>50%）,低
Weapon Used Cd,677744,67.44,删除字段,信息量太低（缺失>50%）,低
Weapon Desc,677744,67.44,删除字段,信息量太低（缺失>50%）,低
Premis Desc,588,0.06,众数/平均值填充,缺失极少（<1%）,低
Premis Cd,16,0.0,保留,无缺失值,无需处理
Crm Cd 1,11,0.0,保留,无缺失值,无需处理
Status,1,0.0,保留,无缺失值,无需处理
